card_id,account_id,customer_id,card_type,network,issue_date,expiry_date,card_status
CARD000059,ACC000785,CUS002860,Debit,RuPay,2022-11-30,2026-11-30,Active
CARD000060,ACC010897,CUS001283,Debit,Visa,2023-07-18,2027-07-18,Active
CARD000061,ACC007369,CUS001074,Credit,RuPay,2026-01-10,2030-01-10,Active
CARD000062,ACC012100,CUS003139,Debit,Visa,2024-04-08,2028-04-08,Active
CARD000063,ACC004358,CUS006195,Credit,Visa,2023-07-03,2027-07-03,Blocked
CARD000064,ACC010068,CUS006402,Debit,Mastercard,2021-09-29,2025-09-29,Active
CARD000065,ACC008258,CUS001990,Debit,RuPay,2024-05-02,2028-05-02,Active
CARD000066,ACC001653,CUS004954,Credit,Visa,2024-08-29,2028-08-29,Active
CARD000067,ACC009845,CUS003513,Debit,Visa,2022-05-15,2026-05-15,Active
CARD000068,ACC012427,CUS003784,Debit,RuPay,2023-10-19,2027-10-19,Active
CARD000069,ACC011554,CUS003491,Credit,Visa,2022-03-10,2026-03-10,Blocked
CARD000070,ACC010094,CUS004792,Debit,Mastercard,2025-07-02,2029-07-02,Active
CARD000071,ACC006404,CUS001317,Credit,Visa,2026-06-13,2030-06-13,Active
CARD000072,ACC003887,CUS005968,Debit,Visa,2023-02-03,2027-02-03,Active
CARD000073,ACC014866,CUS007652,Debit,Visa,2021-10-03,2025-10-03,Active
CARD000074,ACC002002,CUS003669,Debit,Visa,2022-06-24,2026-06-24,Active
CARD000075,ACC004178,CUS004480,Credit,Mastercard,2025-09-30,2029-09-30,Active
CARD000076,ACC014651,CUS006490,Debit,RuPay,2025-03-30,2029-03-30,Active
CARD000077,ACC012068,CUS003273,Debit,RuPay,2024-08-25,2028-08-25,Active
CARD000078,ACC012606,CUS003538,Debit,Visa,2024-07-25,2028-07-25,Active
CARD000079,ACC010679,CUS007947,Debit,Mastercard,2026-03-16,2030-03-16,Active
CARD000080,ACC008531,CUS005485,Credit,Mastercard,2024-07-07,2028-07-07,Active
CARD000081,ACC012015,CUS006085,Debit,Visa,2025-09-28,2029-09-28,Active
CARD000082,ACC009669,CUS009070,Debit,Mastercard,2025-02-17,2029-02-17,Active
CARD000083,ACC012858,CUS001548,Credit,Mastercard,2024-12-02,2028-12-02,Active
CARD000084,ACC010536,CUS002793,Credit,RuPay,2025-04-19,2029-04-19,Active
CARD000085,ACC008245,CUS006898,Debit,Visa,2022-09-27,2026-09-27,Active
CARD000086,ACC003077,CUS000192,Debit,Mastercard,2022-12-22,2026-12-22,Active
CARD000087,ACC002411,CUS003975,Credit,Visa,2025-09-30,2029-09-30,Active
CARD000088,ACC005350,CUS002474,Credit,Mastercard,2025-02-12,2029-02-12,Active
CARD000089,ACC007597,CUS007577,Credit,RuPay,2024-10-28,2028-10-28,Blocked
CARD000090,ACC002000,CUS000292,Debit,Mastercard,2026-02-28,2030-02-28,Active
CARD000091,ACC010937,CUS000572,Debit,Mastercard,2021-12-22,2025-12-22,Active
CARD000092,ACC003788,CUS009265,Debit,Visa,2022-02-06,2026-02-06,Active
CARD000093,ACC012482,CUS000738,Credit,Visa,2023-03-15,2027-03-15,Blocked
CARD000094,ACC006929,CUS005950,Debit,Mastercard,2026-01-22,2030-01-22,Active
CARD000095,ACC005725,CUS000112,Debit,Visa,2025-02-13,2029-02-13,Active
CARD000096,ACC003052,CUS003726,Credit,Visa,2024-09-24,2028-09-24,Active
CARD000097,ACC004374,CUS000736,Debit,Visa,2024-12-26,2028-12-26,Blocked
CARD000098,ACC012809,CUS009088,Debit,RuPay,2024-09-12,2028-09-12,Active
CARD000099,ACC011152,CUS009701,Debit,Mastercard,2022-02-18,2026-02-18,Active
CARD000100,ACC013787,CUS000987,Debit,Mastercard,2022-03-13,2026-03-13,Blocked
CARD000101,ACC011109,CUS002788,Debit,Mastercard,2024-05-15,2028-05-15,Active
CARD000102,ACC006665,CUS008359,Debit,Visa,2025-01-28,2029-01-28,Active
CARD000103,ACC001554,CUS003150,Debit,Mastercard,2021-08-11,2025-08-11,Active
CARD000104,ACC003909,CUS002896,Debit,RuPay,2025-07-20,2029-07-20,Active
CARD000105,ACC009932,CUS009459,Debit,RuPay,2026-05-26,2030-05-26,Active
CARD000106,ACC013068,CUS001122,Debit,Visa,2025-11-01,2029-11-01,Active
CARD000107,ACC005673,CUS008386,Credit,Visa,2026-06-27,2030-06-27,Active
CARD000108,ACC004701,CUS005344,Debit,Visa,2024-09-12,2028-09-12,Active
CARD000109,ACC010318,CUS003929,Debit,Mastercard,2025-02-04,2029-02-04,Active
CARD000110,ACC005580,CUS004808,Credit,Visa,2024-04-14,2028-04-14,Active
CARD000111,ACC010048,CUS008336,Debit,Visa,2023-01-25,2027-01-25,Active
CARD000112,ACC003022,CUS001389,Debit,Visa,2023-01-07,2027-01-07,Active
CARD000113,ACC009588,CUS003306,Credit,Mastercard,2024-10-22,2028-10-22,Active
CARD000114,ACC005959,CUS004702,Debit,Mastercard,2022-03-01,2026-03-01,Active
CARD000115,ACC006779,CUS001533,Debit,Visa,2023-01-14,2027-01-14,Active
CARD000116,ACC012734,CUS006841,Debit,Mastercard,2021-10-28,2025-10-28,Active
CARD000117,ACC010293,CUS009157,Debit,Visa,2022-06-27,2026-06-27,Active
CARD000118,ACC006468,CUS002210,Credit,RuPay,2024-01-30,2028-01-30,Active
CARD000119,ACC008002,CUS003767,Debit,Mastercard,2022-06-11,2026-06-11,Active
CARD000120,ACC014764,CUS006801,Debit,Visa,2025-10-29,2029-10-29,Active
CARD000121,ACC003554,CUS001924,Debit,Visa,2024-12-03,2028-12-03,Active
CARD000122,ACC011436,CUS005149,Debit,Visa,2025-04-08,2029-04-08,Active
CARD000123,ACC007977,CUS009108,Credit,Mastercard,2022-12-14,2026-12-14,Active
CARD000124,ACC008727,CUS005409,Debit,Visa,2026-03-13,2030-03-13,Active
CARD000125,ACC011105,CUS008034,Debit,Mastercard,2025-03-03,2029-03-03,Active
CARD000126,ACC007077,CUS002572,Debit,Visa,2022-07-26,2026-07-26,Active
CARD000127,ACC009366,CUS004140,Debit,Visa,2024-04-15,2028-04-15,Active
CARD000128,ACC003628,CUS002627,Debit,RuPay,2022-09-10,2026-09-10,Active
CARD000129,ACC003317,CUS007923,Debit,RuPay,2026-05-04,2030-05-04,Active
CARD000130,ACC006811,CUS005516,Debit,Mastercard,2022-07-02,2026-07-02,Active
CARD000131,ACC001597,CUS008098,Credit,RuPay,2025-02-28,2029-02-28,Active
CARD000132,ACC000412,CUS009538,Credit,RuPay,2022-11-25,2026-11-25,Active
CARD000133,ACC009519,CUS001086,Debit,Mastercard,2022-09-17,2026-09-17,Active
CARD000134,ACC003784,CUS002197,Debit,Visa,2022-02-26,2026-02-26,Active
CARD000135,ACC010919,CUS007968,Credit,Mastercard,2025-02-12,2029-02-12,Active
CARD000136,ACC011716,CUS005231,Credit,Visa,2026-05-05,2030-05-05,Active
CARD000137,ACC004565,CUS002542,Credit,Mastercard,2022-10-04,2026-10-04,Active
CARD000138,ACC007059,CUS009814,Debit,Visa,2024-06-07,2028-06-07,Active
CARD000139,ACC011385,CUS003505,Debit,RuPay,2022-04-20,2026-04-20,Active
CARD000140,ACC014594,CUS002209,Debit,RuPay,2026-07-27,2030-07-27,Blocked
CARD000141,ACC009081,CUS008791,Debit,Visa,2025-11-23,2029-11-23,Active
CARD000142,ACC004767,CUS007783,Debit,RuPay,2022-08-25,2026-08-25,Active
CARD000143,ACC009172,CUS008338,Credit,RuPay,2023-06-12,2027-06-12,Active
CARD000144,ACC012088,CUS002186,Credit,Mastercard,2023-12-19,2027-12-19,Blocked
CARD000145,ACC009119,CUS005793,Debit,Mastercard,2022-12-30,2026-12-30,Active
CARD000146,ACC012227,CUS004578,Credit,Visa,2022-01-10,2026-01-10,Active
CARD000147,ACC005704,CUS007979,Debit,RuPay,2022-07-27,2026-07-27,Active
CARD000148,ACC001204,CUS007953,Debit,Mastercard,2023-02-28,2027-02-28,Active
CARD000149,ACC009961,CUS006065,Debit,RuPay,2024-12-12,2028-12-12,Active
CARD000150,ACC008970,CUS002265,Debit,RuPay,2023-01-01,2027-01-01,Active
CARD000151,ACC003786,CUS002662,Debit,Mastercard,2024-06-26,2028-06-26,Active
CARD000152,ACC008075,CUS004647,Credit,Visa,2022-03-11,2026-03-11,Active
CARD000153,ACC010441,CUS008582,Debit,Visa,2025-11-11,2029-11-11,Expired
CARD000154,ACC006800,CUS008974,Credit,Mastercard,2022-07-03,2026-07-03,Active
CARD000155,ACC014378,CUS001639,Credit,RuPay,2022-11-17,2026-11-17,Active
CARD000156,ACC009266,CUS005214,Debit,RuPay,2023-06-19,2027-06-19,Active
CARD000157,ACC009440,CUS005215,Debit,Visa,2022-06-19,2026-06-19,Active
CARD000158,ACC000339,CUS003015,Debit,Visa,2022-04-30,2026-04-30,Active
CARD000159,ACC005180,CUS009005,Debit,Visa,2023-03-05,2027-03-05,Active
CARD000160,ACC002460,CUS001554,Debit,Visa,2024-09-19,2028-09-19,Active
CARD000161,ACC002622,CUS009012,Debit,Visa,2023-04-30,2027-04-30,Active
CARD000162,ACC011315,CUS005499,Debit,Mastercard,2025-11-26,2029-11-26,Active
CARD000163,ACC010525,CUS003739,Debit,Visa,2024-03-13,2028-03-13,Active
CARD000164,ACC014860,CUS003098,Debit,Visa,2022-07-31,2026-07-31,Active
CARD000165,ACC008466,CUS001819,Debit,Visa,2022-04-21,2026-04-21,Active
CARD000166,ACC010336,CUS008324,Credit,Mastercard,2025-09-06,2029-09-06,Active
CARD000167,ACC014039,CUS009395,Debit,Visa,2023-09-03,2027-09-03,Active
CARD000168,ACC004343,CUS002061,Debit,Mastercard,2022-07-25,2026-07-25,Active
CARD000169,ACC014422,CUS005443,Debit,Mastercard,2023-02-26,2027-02-26,Active
CARD000170,ACC013957,CUS006382,Credit,RuPay,2022-01-19,2026-01-19,Active
CARD000171,ACC005112,CUS003802,Debit,Mastercard,2025-01-23,2029-01-23,Active
CARD000172,ACC004296,CUS008490,Debit,RuPay,2024-01-25,2028-01-25,Active
CARD000173,ACC009508,CUS000528,Debit,RuPay,2022-09-04,2026-09-04,Active
CARD000174,ACC008755,CUS002288,Debit,RuPay,2023-08-06,2027-08-06,Active
CARD000175,ACC014545,CUS002406,Credit,Mastercard,2024-12-17,2028-12-17,Active
CARD000176,ACC001223,CUS005067,Debit,Mastercard,2024-09-14,2028-09-14,Active
CARD000177,ACC011773,CUS000553,Debit,Visa,2024-04-30,2028-04-30,Active
CARD000178,ACC008620,CUS008197,Debit,Visa,2022-05-27,2026-05-27,Active
CARD000179,ACC008428,CUS006354,Debit,Mastercard,2024-04-02,2028-04-02,Active
CARD000180,ACC013734,CUS009911,Debit,Visa,2024-02-01,2028-02-01,Active
CARD000181,ACC009758,CUS001469,Credit,RuPay,2021-08-15,2025-08-15,Active
CARD000182,ACC014575,CUS003217,Credit,Visa,2024-11-17,2028-11-17,Active
CARD000183,ACC012957,CUS005182,Credit,Visa,2022-10-29,2026-10-29,Active
CARD000184,ACC001795,CUS002153,Credit,RuPay,2026-06-13,2030-06-13,Active
CARD000185,ACC000035,CUS000376,Debit,Visa,2026-04-11,2030-04-11,Active
CARD000186,ACC007650,CUS004228,Debit,Mastercard,2026-06-15,2030-06-15,Active
CARD000187,ACC006491,CUS003232,Debit,Visa,2023-04-05,2027-04-05,Active
CARD000188,ACC011215,CUS005533,Debit,Visa,2024-05-15,2028-05-15,Active
CARD000189,ACC013816,CUS008124,Credit,Visa,2022-03-06,2026-03-06,Active
CARD000190,ACC001096,CUS005308,Debit,Mastercard,2023-03-22,2027-03-22,Active
CARD000191,ACC000160,CUS004640,Credit,Visa,2022-06-05,2026-06-05,Active
CARD000192,ACC011830,CUS003732,Credit,Mastercard,2023-03-18,2027-03-18,Active
CARD000193,ACC010568,CUS008640,Debit,Mastercard,2025-01-16,2029-01-16,Active
CARD000194,ACC009512,CUS003156,Debit,Mastercard,2022-04-19,2026-04-19,Active
CARD000195,ACC004992,CUS008491,Debit,Visa,2026-02-28,2030-02-28,Active
CARD000196,ACC003145,CUS002640,Debit,Visa,2023-10-20,2027-10-20,Active
CARD000197,ACC002841,CUS001328,Debit,Mastercard,2026-06-11,2030-06-11,Active
CARD000198,ACC008527,CUS003856,Debit,Visa,2025-07-17,2029-07-17,Active
CARD000199,ACC010684,CUS002090,Debit,Visa,2024-02-28,2028-02-28,Blocked
CARD000200,ACC007372,CUS006213,Debit,RuPay,2022-03-02,2026-03-02,Active
CARD000201,ACC007363,CUS005773,Debit,Visa,2024-06-05,2028-06-05,Active
CARD000202,ACC000988,CUS003878,Debit,Mastercard,2026-01-24,2030-01-24,Active
CARD000203,ACC000982,CUS005189,Debit,RuPay,2022-09-01,2026-09-01,Active
CARD000204,ACC014999,CUS007721,Debit,Visa,2026-06-17,2030-06-17,Active
CARD000205,ACC012791,CUS003053,Debit,Visa,2025-03-03,2029-03-03,Active
CARD000206,ACC003468,CUS003112,Debit,Mastercard,2023-05-27,2027-05-27,Active
CARD000207,ACC002242,CUS001877,Credit,RuPay,2025-12-07,2029-12-07,Active
CARD000208,ACC013724,CUS005588,Debit,Visa,2025-05-26,2029-05-26,Active
CARD000209,ACC005136,CUS002558,Debit,RuPay,2022-09-28,2026-09-28,Active
CARD000210,ACC006341,CUS007429,Debit,RuPay,2025-02-21,2029-02-21,Active
CARD000211,ACC005872,CUS009981,Debit,Visa,2021-12-22,2025-12-22,Active
CARD000212,ACC011740,CUS007205,Debit,RuPay,2026-05-10,2030-05-10,Active
CARD000213,ACC012580,CUS003667,Credit,Visa,2022-04-29,2026-04-29,Active
CARD000214,ACC006604,CUS003018,Debit,Visa,2022-12-11,2026-12-11,Active
CARD000215,ACC007563,CUS006277,Debit,Mastercard,2024-08-27,2028-08-27,Active
CARD000216,ACC013056,CUS006005,Credit,Visa,2025-03-11,2029-03-11,Expired
CARD000217,ACC009053,CUS000951,Credit,RuPay,2025-02-04,2029-02-04,Active
CARD000218,ACC012173,CUS000677,Debit,Visa,2023-04-18,2027-04-18,Active
CARD000219,ACC012937,CUS009672,Debit,RuPay,2024-01-08,2028-01-08,Active
CARD000220,ACC014271,CUS005600,Debit,RuPay,2023-03-19,2027-03-19,Active
CARD000221,ACC007071,CUS008751,Debit,Mastercard,2023-05-04,2027-05-04,Active
CARD000222,ACC013041,CUS006425,Debit,Mastercard,2025-07-25,2029-07-25,Blocked
CARD000223,ACC002370,CUS006880,Debit,Mastercard,2023-07-20,2027-07-20,Active
CARD000224,ACC002262,CUS006027,Debit,Mastercard,2023-11-06,2027-11-06,Active
CARD000225,ACC006675,CUS002051,Credit,RuPay,2023-02-04,2027-02-04,Active
CARD000226,ACC008809,CUS001530,Debit,Mastercard,2025-05-08,2029-05-08,Expired
CARD000227,ACC006365,CUS001652,Debit,RuPay,2024-05-24,2028-05-24,Active
CARD000228,ACC008360,CUS002583,Credit,Visa,2022-05-07,2026-05-07,Active
CARD000229,ACC014512,CUS002553,Debit,RuPay,2025-07-16,2029-07-16,Active
CARD000230,ACC005381,CUS005056,Debit,Visa,2026-07-08,2030-07-08,Active
CARD000231,ACC010950,CUS003284,Credit,Visa,2022-10-23,2026-10-23,Active
CARD000232,ACC004539,CUS002920,Debit,Mastercard,2025-04-18,2029-04-18,Active
CARD000233,ACC001943,CUS005935,Debit,Mastercard,2023-10-22,2027-10-22,Active
CARD000234,ACC000489,CUS002881,Debit,Visa,2022-09-19,2026-09-19,Active
CARD000235,ACC009967,CUS006221,Debit,Visa,2021-09-24,2025-09-24,Active
CARD000236,ACC002501,CUS006047,Debit,Mastercard,2021-10-14,2025-10-14,Active
CARD000237,ACC014446,CUS002277,Debit,Mastercard,2023-11-22,2027-11-22,Active
CARD000238,ACC013868,CUS001787,Debit,RuPay,2023-08-09,2027-08-09,Active
CARD000239,ACC004039,CUS004905,Debit,Visa,2024-12-03,2028-12-03,Active
CARD000240,ACC000027,CUS005246,Credit,Visa,2023-01-22,2027-01-22,Active
CARD000241,ACC013455,CUS009281,Debit,Visa,2025-02-11,2029-02-11,Active
CARD000242,ACC014754,CUS003059,Debit,Visa,2023-05-24,2027-05-24,Active
CARD000243,ACC013877,CUS008913,Debit,RuPay,2021-09-26,2025-09-26,Active
CARD000244,ACC013147,CUS003627,Credit,Visa,2025-10-30,2029-10-30,Active
CARD000245,ACC004500,CUS000762,Credit,Visa,2022-10-23,2026-10-23,Active
CARD000246,ACC013909,CUS007297,Debit,Mastercard,2022-07-01,2026-07-01,Active
CARD000247,ACC002034,CUS002058,Debit,Visa,2023-09-01,2027-09-01,Active
CARD000248,ACC011254,CUS005645,Debit,Visa,2023-11-24,2027-11-24,Active
CARD000249,ACC003735,CUS005169,Debit,Visa,2024-06-15,2028-06-15,Active
CARD000250,ACC008194,CUS000884,Debit,RuPay,2023-11-26,2027-11-26,Blocked
CARD000251,ACC010883,CUS000108,Debit,RuPay,2024-09-04,2028-09-04,Active
CARD000252,ACC006089,CUS007684,Debit,RuPay,2022-09-21,2026-09-21,Active
CARD000253,ACC010997,CUS008647,Debit,Visa,2025-08-20,2029-08-20,Active
CARD000254,ACC002554,CUS004556,Debit,Mastercard,2022-12-20,2026-12-20,Active
CARD000255,ACC008344,CUS006842,Credit,Visa,2022-06-06,2026-06-06,Active
CARD000256,ACC012234,CUS002256,Debit,Visa,2023-01-16,2027-01-16,Active
CARD000257,ACC000549,CUS008022,Debit,Mastercard,2022-10-11,2026-10-11,Blocked
CARD000258,ACC001049,CUS003965,Debit,Visa,2024-04-19,2028-04-19,Active
CARD000259,ACC004228,CUS003364,Debit,RuPay,2026-02-13,2030-02-13,Active
CARD000260,ACC002180,CUS008632,Credit,RuPay,2026-07-01,2030-07-01,Active
CARD000261,ACC014389,CUS001944,Debit,RuPay,2025-06-19,2029-06-19,Active
CARD000262,ACC005039,CUS004027,Debit,Mastercard,2022-02-01,2026-02-01,Active
CARD000263,ACC000327,CUS005950,Credit,Visa,2024-08-03,2028-08-03,Active
CARD000264,ACC010034,CUS001884,Credit,Visa,2025-02-11,2029-02-11,Active
CARD000265,ACC001169,CUS001568,Debit,Visa,2025-12-17,2029-12-17,Active
CARD000266,ACC001747,CUS006251,Credit,Mastercard,2023-09-04,2027-09-04,Active
CARD000267,ACC010805,CUS000974,Debit,Visa,2023-05-06,2027-05-06,Active
CARD000268,ACC006269,CUS008673,Debit,Mastercard,2025-01-08,2029-01-08,Active
CARD000269,ACC002960,CUS003185,Debit,RuPay,2023-02-10,2027-02-10,Active
CARD000270,ACC006250,CUS009964,Credit,RuPay,2024-01-11,2028-01-11,Active
CARD000271,ACC005208,CUS002867,Debit,RuPay,2024-10-09,2028-10-09,Active
CARD000272,ACC002512,CUS003075,Debit,RuPay,2021-09-17,2025-09-17,Active
CARD000273,ACC010561,CUS002485,Debit,RuPay,2021-08-27,2025-08-27,Active
CARD000274,ACC000214,CUS000109,Credit,Visa,2023-07-11,2027-07-11,Active
CARD000275,ACC002577,CUS006392,Debit,Mastercard,2025-06-15,2029-06-15,Active
CARD000276,ACC008108,CUS004252,Credit,Mastercard,2021-10-05,2025-10-05,Active
CARD000277,ACC013837,CUS004549,Debit,Mastercard,2022-12-23,2026-12-23,Active
CARD000278,ACC009427,CUS007655,Debit,Visa,2026-01-12,2030-01-12,Active
CARD000279,ACC001228,CUS003161,Credit,Mastercard,2023-08-03,2027-08-03,Active
CARD000280,ACC013075,CUS000523,Debit,Visa,2025-08-13,2029-08-13,Blocked
CARD000281,ACC006893,CUS002043,Debit,RuPay,2025-06-17,2029-06-17,Active
CARD000282,ACC013299,CUS003124,Credit,Visa,2026-06-13,2030-06-13,Active
CARD000283,ACC003996,CUS007308,Debit,RuPay,2025-12-21,2029-12-21,Active
CARD000284,ACC005111,CUS001952,Debit,Visa,2021-09-04,2025-09-04,Active
CARD000285,ACC004930,CUS005245,Credit,Visa,2022-07-16,2026-07-16,Active
CARD000286,ACC005722,CUS009299,Debit,RuPay,2026-06-19,2030-06-19,Expired
CARD000287,ACC008750,CUS008509,Debit,Mastercard,2024-01-07,2028-01-07,Active
CARD000288,ACC002282,CUS002162,Debit,Visa,2023-07-22,2027-07-22,Active
CARD000289,ACC014772,CUS001854,Debit,Visa,2024-03-21,2028-03-21,Active
CARD000290,ACC012784,CUS005787,Debit,Visa,2024-05-26,2028-05-26,Active
CARD000291,ACC009798,CUS009939,Debit,Mastercard,2025-10-23,2029-10-23,Active
CARD000292,ACC007581,CUS000240,Credit,Visa,2024-04-29,2028-04-29,Expired
CARD000293,ACC005415,CUS003420,Debit,Mastercard,2022-07-12,2026-07-12,Active
CARD000294,ACC010101,CUS002744,Debit,RuPay,2023-12-17,2027-12-17,Active
CARD000295,ACC014465,CUS006893,Credit,RuPay,2025-01-20,2029-01-20,Active
CARD000296,ACC014925,CUS005210,Credit,Mastercard,2021-10-03,2025-10-03,Active
CARD000297,ACC008856,CUS006719,Debit,Mastercard,2025-10-18,2029-10-18,Active
CARD000298,ACC004341,CUS001944,Debit,Mastercard,2024-04-07,2028-04-07,Active
CARD000299,ACC001236,CUS000221,Debit,Mastercard,2025-11-25,2029-11-25,Active
CARD000300,ACC005822,CUS003576,Debit,RuPay,2022-01-20,2026-01-20,Active
CARD000301,ACC014970,CUS006376,Debit,RuPay,2024-02-24,2028-02-24,Active
CARD000302,ACC005302,CUS009422,Debit,RuPay,2025-09-10,2029-09-10,Active
CARD000303,ACC009252,CUS003998,Debit,Visa,2026-07-28,2030-07-28,Active
CARD000304,ACC003491,CUS001193,Debit,Mastercard,2023-10-19,2027-10-19,Active
CARD000305,ACC004132,CUS004339,Debit,RuPay,2022-10-23,2026-10-23,Active
CARD000306,ACC005339,CUS007180,Debit,Visa,2023-10-16,2027-10-16,Active
CARD000307,ACC004141,CUS001074,Debit,RuPay,2025-09-22,2029-09-22,Active
CARD000308,ACC010455,CUS002315,Debit,Visa,2025-11-25,2029-11-25,Active
CARD000309,ACC001482,CUS008795,Credit,Mastercard,2023-03-02,2027-03-02,Active
CARD000310,ACC006577,CUS009181,Credit,Mastercard,2025-04-08,2029-04-08,Active
CARD000311,ACC000655,CUS008849,Credit,Visa,2024-07-25,2028-07-25,Active
CARD000312,ACC006003,CUS003458,Debit,Visa,2026-03-24,2030-03-24,Active
CARD000313,ACC014835,CUS002566,Credit,Visa,2026-04-23,2030-04-23,Active
CARD000314,ACC005775,CUS009540,Debit,Visa,2023-03-08,2027-03-08,Active
CARD000315,ACC012873,CUS003971,Debit,Mastercard,2026-05-29,2030-05-29,Active
CARD000316,ACC014157,CUS003347,Credit,Visa,2025-01-11,2029-01-11,Active
