device_id,device_type,operating_system,browser,device_status
DEV000252,Mobile,Android,Chrome,Active
DEV000253,Laptop,Android,Chrome,Active
DEV000254,Laptop,iOS,Safari,Active
DEV000255,Mobile,Android,Safari,Inactive
DEV000256,Laptop,macOS,Safari,Active
DEV000257,Laptop,Android,Chrome,Active
DEV000258,Laptop,iOS,Edge,Inactive
DEV000259,Mobile,Android,Safari,Active
DEV000260,Mobile,iOS,Edge,Active
DEV000261,Laptop,macOS,Chrome,Active
DEV000262,Mobile,iOS,Chrome,Active
DEV000263,Tablet,Windows,Edge,Active
DEV000264,Laptop,Windows,Chrome,Active
DEV000265,Mobile,Android,Safari,Active
DEV000266,Laptop,Android,Chrome,Active
DEV000267,Mobile,macOS,Edge,Inactive
DEV000268,Mobile,Android,Firefox,Active
DEV000269,Mobile,Android,Firefox,Active
DEV000270,Mobile,Android,Chrome,Inactive
DEV000271,Mobile,Android,Edge,Active
DEV000272,Mobile,iOS,Chrome,Active
DEV000273,Tablet,iOS,Chrome,Active
DEV000274,Mobile,Android,Chrome,Inactive
DEV000275,Mobile,macOS,Firefox,Active
DEV000276,Mobile,iOS,Safari,Active
DEV000277,Mobile,Android,Chrome,Active
DEV000278,Mobile,Windows,Safari,Active
DEV000279,Mobile,Windows,Edge,Active
DEV000280,Mobile,Android,Safari,Active
DEV000281,Mobile,Android,Chrome,Active
DEV000282,Mobile,Android,Chrome,Active
DEV000283,Mobile,iOS,Chrome,Active
DEV000284,Tablet,Android,Chrome,Active
DEV000285,Laptop,macOS,Chrome,Active
DEV000286,Mobile,Android,Chrome,Active
DEV000287,Mobile,iOS,Edge,Active
DEV000288,Laptop,Android,Safari,Active
DEV000289,Tablet,macOS,Chrome,Active
DEV000290,Mobile,Windows,Edge,Active
DEV000291,Laptop,iOS,Chrome,Active
DEV000292,Mobile,Android,Chrome,Active
DEV000293,Tablet,Android,Chrome,Active
DEV000294,Mobile,Android,Chrome,Inactive
DEV000295,Mobile,Android,Chrome,Active
DEV000296,Mobile,Android,Safari,Active
DEV000297,Mobile,Android,Chrome,Active
DEV000298,Mobile,Android,Chrome,Active
DEV000299,Laptop,iOS,Firefox,Active
DEV000300,Mobile,iOS,Chrome,Active
DEV000301,Mobile,macOS,Edge,Active
DEV000302,Mobile,macOS,Safari,Active
DEV000303,Mobile,iOS,Chrome,Active
DEV000304,Mobile,Android,Safari,Inactive
DEV000305,Mobile,iOS,Chrome,Active
DEV000306,Laptop,macOS,Chrome,Active
DEV000307,Mobile,iOS,Chrome,Active
DEV000308,Mobile,iOS,Safari,Active
DEV000309,Laptop,Android,Firefox,Active
DEV000310,Mobile,Android,Safari,Inactive
DEV000311,Tablet,Android,Edge,Active
DEV000312,Mobile,Android,Chrome,Active
DEV000313,Laptop,iOS,Safari,Active
DEV000314,Laptop,Android,Firefox,Active
DEV000315,Mobile,macOS,Chrome,Active
DEV000316,Mobile,iOS,Safari,Active
DEV000317,Laptop,iOS,Chrome,Active
DEV000318,Mobile,Android,Chrome,Active
DEV000319,Mobile,Android,Safari,Active
DEV000320,Laptop,iOS,Chrome,Active
DEV000321,Tablet,iOS,Chrome,Active
DEV000322,Mobile,Windows,Firefox,Active
DEV000323,Tablet,Windows,Edge,Active
DEV000324,Mobile,iOS,Firefox,Active
DEV000325,Laptop,Android,Safari,Active
DEV000326,Mobile,Android,Edge,Active
DEV000327,Mobile,iOS,Chrome,Active
DEV000328,Mobile,iOS,Edge,Active
DEV000329,Laptop,iOS,Edge,Active
DEV000330,Mobile,macOS,Firefox,Active
DEV000331,Mobile,iOS,Edge,Active
DEV000332,Mobile,macOS,Firefox,Active
DEV000333,Tablet,Android,Chrome,Active
DEV000334,Mobile,Android,Chrome,Inactive
DEV000335,Tablet,Android,Safari,Active
DEV000336,Mobile,Windows,Chrome,Active
DEV000337,Laptop,Android,Firefox,Active
DEV000338,Mobile,Android,Chrome,Active
DEV000339,Mobile,Android,Chrome,Active
DEV000340,Tablet,macOS,Chrome,Active
DEV000341,Mobile,macOS,Chrome,Active
DEV000342,Mobile,iOS,Chrome,Active
DEV000343,Mobile,Android,Edge,Active
DEV000344,Mobile,iOS,Safari,Inactive
DEV000345,Mobile,Android,Chrome,Inactive
DEV000346,Laptop,Windows,Chrome,Active
DEV000347,Mobile,Android,Chrome,Active
DEV000348,Tablet,iOS,Firefox,Active
DEV000349,Mobile,Android,Edge,Active
DEV000350,Laptop,Android,Safari,Inactive
DEV000351,Mobile,Android,Chrome,Active
DEV000352,Laptop,iOS,Chrome,Active
DEV000353,Tablet,macOS,Edge,Active
DEV000354,Mobile,Windows,Chrome,Active
DEV000355,Mobile,Windows,Edge,Active
DEV000356,Laptop,Android,Chrome,Active
DEV000357,Mobile,iOS,Chrome,Active
DEV000358,Mobile,iOS,Edge,Active
DEV000359,Mobile,Android,Chrome,Active
DEV000360,Mobile,Windows,Chrome,Active
DEV000361,Mobile,Android,Safari,Inactive
DEV000362,Mobile,Android,Chrome,Active
DEV000363,Laptop,Android,Chrome,Active
DEV000364,Laptop,iOS,Safari,Active
DEV000365,Mobile,Windows,Firefox,Active
DEV000366,Mobile,Android,Chrome,Active
DEV000367,Mobile,Android,Chrome,Active
DEV000368,Mobile,Android,Chrome,Active
DEV000369,Mobile,Android,Edge,Active
DEV000370,Mobile,Android,Chrome,Active
DEV000371,Mobile,macOS,Edge,Active
DEV000372,Mobile,Android,Edge,Active
DEV000373,Mobile,iOS,Chrome,Active
DEV000374,Mobile,Android,Chrome,Active
DEV000375,Mobile,iOS,Chrome,Active
DEV000376,Mobile,Windows,Safari,Active
DEV000377,Mobile,Android,Edge,Inactive
DEV000378,Mobile,macOS,Safari,Active
DEV000379,Mobile,Android,Edge,Active
DEV000380,Mobile,macOS,Chrome,Active
DEV000381,Mobile,Windows,Edge,Active
DEV000382,Laptop,Android,Safari,Active
DEV000383,Mobile,Android,Chrome,Active
DEV000384,Mobile,Android,Chrome,Inactive
DEV000385,Mobile,Android,Edge,Active
DEV000386,Mobile,Android,Firefox,Active
DEV000387,Mobile,Android,Safari,Active
DEV000388,Mobile,iOS,Safari,Active
DEV000389,Mobile,Windows,Safari,Active
DEV000390,Mobile,Windows,Chrome,Active
DEV000391,Mobile,Windows,Firefox,Inactive
DEV000392,Laptop,Android,Safari,Active
DEV000393,Mobile,Android,Chrome,Active
DEV000394,Mobile,Android,Chrome,Active
DEV000395,Mobile,Android,Firefox,Active
DEV000396,Mobile,Android,Chrome,Active
DEV000397,Mobile,Android,Chrome,Inactive
DEV000398,Mobile,iOS,Safari,Active
DEV000399,Mobile,Android,Chrome,Active
DEV000400,Mobile,iOS,Safari,Active
DEV000401,Tablet,iOS,Firefox,Active
DEV000402,Mobile,iOS,Chrome,Inactive
DEV000403,Mobile,iOS,Safari,Active
DEV000404,Laptop,macOS,Chrome,Active
DEV000405,Mobile,iOS,Chrome,Active
DEV000406,Mobile,Android,Chrome,Active
DEV000407,Tablet,macOS,Chrome,Active
DEV000408,Mobile,iOS,Edge,Active
DEV000409,Mobile,iOS,Chrome,Active
DEV000410,Mobile,iOS,Chrome,Active
DEV000411,Mobile,macOS,Edge,Inactive
DEV000412,Laptop,Windows,Chrome,Active
DEV000413,Laptop,Android,Edge,Active
DEV000414,Mobile,Windows,Edge,Active
DEV000415,Mobile,Android,Chrome,Active
DEV000416,Mobile,iOS,Chrome,Active
DEV000417,Mobile,Android,Safari,Active
DEV000418,Mobile,iOS,Chrome,Active
DEV000419,Mobile,iOS,Chrome,Inactive
DEV000420,Laptop,Windows,Chrome,Inactive
DEV000421,Mobile,Android,Edge,Inactive
DEV000422,Laptop,Android,Chrome,Inactive
DEV000423,Laptop,Android,Edge,Active
DEV000424,Laptop,Android,Edge,Active
DEV000425,Mobile,macOS,Safari,Active
DEV000426,Laptop,Android,Chrome,Active
DEV000427,Mobile,Android,Chrome,Active
DEV000428,Mobile,iOS,Chrome,Active
DEV000429,Laptop,Android,Firefox,Active
DEV000430,Mobile,Android,Chrome,Active
DEV000431,Laptop,Android,Safari,Active
DEV000432,Mobile,Android,Chrome,Active
DEV000433,Mobile,Android,Chrome,Active
DEV000434,Mobile,Android,Safari,Active
DEV000435,Mobile,Windows,Safari,Active
DEV000436,Laptop,Android,Firefox,Active
DEV000437,Laptop,Windows,Chrome,Inactive
DEV000438,Mobile,Android,Chrome,Active
DEV000439,Mobile,iOS,Chrome,Active
DEV000440,Mobile,Android,Edge,Active
DEV000441,Mobile,Windows,Chrome,Active
DEV000442,Mobile,iOS,Chrome,Active
DEV000443,Mobile,iOS,Edge,Active
DEV000444,Mobile,Android,Chrome,Active
DEV000445,Mobile,Windows,Edge,Active
DEV000446,Mobile,Android,Safari,Active
DEV000447,Mobile,Android,Chrome,Active
DEV000448,Mobile,iOS,Chrome,Active
DEV000449,Mobile,Android,Chrome,Active
DEV000450,Laptop,Android,Chrome,Active
DEV000451,Mobile,iOS,Chrome,Active
DEV000452,Tablet,Android,Firefox,Inactive
DEV000453,Mobile,Android,Chrome,Active
DEV000454,Mobile,iOS,Chrome,Active
DEV000455,Laptop,Android,Firefox,Active
DEV000456,Mobile,macOS,Safari,Inactive
DEV000457,Mobile,Android,Chrome,Active
DEV000458,Tablet,Android,Safari,Active
DEV000459,Laptop,iOS,Firefox,Active
DEV000460,Laptop,Android,Chrome,Active
DEV000461,Mobile,Android,Edge,Active
DEV000462,Mobile,Android,Chrome,Active
DEV000463,Mobile,Android,Chrome,Active
DEV000464,Mobile,Windows,Edge,Active
DEV000465,Mobile,iOS,Chrome,Active
DEV000466,Laptop,Windows,Firefox,Active
DEV000467,Mobile,Android,Chrome,Active
DEV000468,Mobile,iOS,Chrome,Active
DEV000469,Mobile,iOS,Chrome,Active
DEV000470,Laptop,Windows,Chrome,Active
DEV000471,Tablet,Android,Safari,Inactive
DEV000472,Mobile,Android,Chrome,Inactive
DEV000473,Mobile,Android,Safari,Active
DEV000474,Mobile,Android,Firefox,Active
DEV000475,Laptop,Android,Firefox,Active
DEV000476,Mobile,iOS,Chrome,Inactive
DEV000477,Mobile,iOS,Chrome,Active
DEV000478,Mobile,Windows,Chrome,Active
DEV000479,Mobile,macOS,Chrome,Active
DEV000480,Mobile,Android,Chrome,Active
DEV000481,Mobile,iOS,Chrome,Active
DEV000482,Mobile,iOS,Edge,Active
DEV000483,Mobile,iOS,Safari,Active
DEV000484,Laptop,macOS,Chrome,Active
DEV000485,Tablet,iOS,Firefox,Active
DEV000486,Mobile,Android,Firefox,Active
DEV000487,Laptop,Windows,Edge,Active
DEV000488,Mobile,iOS,Edge,Active
DEV000489,Tablet,Windows,Chrome,Active
DEV000490,Mobile,Android,Chrome,Active
DEV000491,Mobile,Android,Edge,Active
DEV000492,Laptop,Android,Edge,Active
DEV000493,Mobile,iOS,Firefox,Active
DEV000494,Laptop,Windows,Chrome,Active
DEV000495,Laptop,iOS,Safari,Active
DEV000496,Mobile,macOS,Firefox,Active
DEV000497,Mobile,Android,Chrome,Active
DEV000498,Mobile,macOS,Safari,Active
DEV000499,Mobile,Android,Edge,Active
DEV000500,Mobile,Android,Chrome,Active
DEV000501,Mobile,iOS,Edge,Active
DEV000502,Tablet,Android,Chrome,Active
DEV000503,Laptop,iOS,Chrome,Active
DEV000504,Mobile,Android,Chrome,Active
DEV000505,Mobile,Android,Chrome,Active
DEV000506,Mobile,iOS,Edge,Active
DEV000507,Laptop,iOS,Chrome,Active
DEV000508,Mobile,iOS,Chrome,Active
DEV000509,Mobile,iOS,Chrome,Active
DEV000510,Tablet,macOS,Chrome,Active
DEV000511,Mobile,macOS,Firefox,Active
DEV000512,Tablet,iOS,Chrome,Active
DEV000513,Mobile,Android,Firefox,Active
DEV000514,Laptop,Android,Chrome,Active
DEV000515,Mobile,Windows,Chrome,Active
DEV000516,Mobile,macOS,Chrome,Active
DEV000517,Laptop,iOS,Firefox,Active
DEV000518,Mobile,iOS,Edge,Active
DEV000519,Mobile,iOS,Chrome,Active
DEV000520,Mobile,Android,Chrome,Active
DEV000521,Mobile,Android,Edge,Active
DEV000522,Mobile,Android,Safari,Active
DEV000523,Tablet,Android,Edge,Active
DEV000524,Mobile,Android,Edge,Active
DEV000525,Mobile,iOS,Safari,Active
DEV000526,Laptop,Android,Chrome,Active
DEV000527,Mobile,iOS,Chrome,Active
DEV000528,Mobile,Android,Chrome,Active
DEV000529,Mobile,Windows,Chrome,Active
DEV000530,Laptop,Android,Chrome,Active
DEV000531,Tablet,Android,Chrome,Active
DEV000532,Tablet,Android,Chrome,Active
DEV000533,Mobile,Android,Chrome,Active
DEV000534,Mobile,Android,Chrome,Active
DEV000535,Mobile,Windows,Safari,Active
DEV000536,Mobile,Android,Chrome,Active
DEV000537,Mobile,Android,Edge,Inactive
DEV000538,Tablet,Android,Safari,Active
DEV000539,Mobile,iOS,Chrome,Active
DEV000540,Mobile,Android,Chrome,Active
DEV000541,Laptop,Android,Safari,Active
DEV000542,Mobile,Windows,Chrome,Active
DEV000543,Mobile,Android,Chrome,Active
DEV000544,Mobile,Android,Safari,Active
DEV000545,Tablet,Android,Edge,Active
DEV000546,Mobile,Android,Chrome,Active
DEV000547,Tablet,Android,Chrome,Active
DEV000548,Laptop,iOS,Safari,Active
DEV000549,Laptop,Android,Chrome,Active
DEV000550,Tablet,Android,Firefox,Inactive
DEV000551,Mobile,Android,Chrome,Active
DEV000552,Mobile,iOS,Edge,Active
DEV000553,Mobile,Android,Chrome,Active
DEV000554,Mobile,iOS,Safari,Active
DEV000555,Mobile,iOS,Edge,Active
DEV000556,Mobile,Windows,Firefox,Active
DEV000557,Mobile,Android,Edge,Active
DEV000558,Mobile,Android,Chrome,Active
DEV000559,Laptop,Android,Chrome,Active
DEV000560,Mobile,iOS,Chrome,Active
DEV000561,Mobile,iOS,Chrome,Active
DEV000562,Mobile,Android,Safari,Active
DEV000563,Laptop,macOS,Chrome,Inactive
DEV000564,Mobile,Android,Chrome,Active
DEV000565,Mobile,Android,Safari,Active
DEV000566,Tablet,Android,Chrome,Inactive
DEV000567,Mobile,Android,Chrome,Active
DEV000568,Mobile,Android,Edge,Active
DEV000569,Mobile,macOS,Edge,Inactive
DEV000570,Tablet,Android,Safari,Active
DEV000571,Mobile,Android,Chrome,Active
DEV000572,Laptop,Android,Chrome,Active
DEV000573,Mobile,Android,Safari,Active
DEV000574,Mobile,iOS,Safari,Active
DEV000575,Mobile,Android,Firefox,Active
DEV000576,Mobile,iOS,Safari,Active
DEV000577,Mobile,iOS,Edge,Active
DEV000578,Mobile,iOS,Chrome,Active
DEV000579,Mobile,Windows,Safari,Inactive
DEV000580,Mobile,iOS,Edge,Active
DEV000581,Laptop,macOS,Chrome,Active
DEV000582,Mobile,Android,Edge,Active
DEV000583,Mobile,Windows,Chrome,Active
DEV000584,Laptop,Android,Chrome,Active
DEV000585,Mobile,iOS,Chrome,Active
DEV000586,Tablet,macOS,Chrome,Active
DEV000587,Mobile,Android,Safari,Active
DEV000588,Mobile,Android,Edge,Active
DEV000589,Mobile,macOS,Edge,Inactive
DEV000590,Mobile,iOS,Chrome,Active
DEV000591,Mobile,Android,Chrome,Active
DEV000592,Laptop,macOS,Chrome,Active
DEV000593,Mobile,iOS,Safari,Inactive
DEV000594,Laptop,iOS,Chrome,Active
DEV000595,Mobile,Android,Safari,Active
DEV000596,Mobile,iOS,Safari,Active
DEV000597,Mobile,Windows,Chrome,Active
DEV000598,Laptop,iOS,Chrome,Active
DEV000599,Mobile,Windows,Safari,Active
DEV000600,Mobile,Android,Edge,Active
DEV000601,Mobile,Android,Safari,Active
DEV000602,Mobile,Android,Firefox,Active
DEV000603,Mobile,iOS,Chrome,Active
DEV000604,Mobile,Windows,Chrome,Active
DEV000605,Laptop,Android,Chrome,Active
DEV000606,Mobile,macOS,Safari,Active
DEV000607,Tablet,Android,Chrome,Active
DEV000608,Laptop,iOS,Firefox,Active
DEV000609,Mobile,Android,Chrome,Active
DEV000610,Mobile,Windows,Chrome,Active
DEV000611,Tablet,Android,Chrome,Inactive
DEV000612,Laptop,macOS,Edge,Active
DEV000613,Laptop,macOS,Firefox,Active
DEV000614,Laptop,Android,Chrome,Active
DEV000615,Mobile,macOS,Chrome,Active
DEV000616,Mobile,Android,Chrome,Active
DEV000617,Mobile,Windows,Safari,Active
DEV000618,Mobile,Android,Chrome,Active
DEV000619,Laptop,Android,Chrome,Active
DEV000620,Mobile,iOS,Edge,Active
DEV000621,Mobile,macOS,Safari,Active
DEV000622,Tablet,Android,Chrome,Active
DEV000623,Mobile,iOS,Safari,Active
DEV000624,Tablet,Android,Chrome,Active
DEV000625,Mobile,Windows,Edge,Active
