credit_profile_id,customer_id,credit_score,credit_utilization,total_credit_limit,outstanding_balance,delinquency_count,last_updated
CRP000073,CUS000073,754,20.23,24034.52,4862.18,2,2026-02-04
CRP000074,CUS000074,321,23.28,33225.02,7734.78,0,2026-02-07
CRP000075,CUS000075,837,61.53,67197.64,41346.71,3,2026-02-02
CRP000076,CUS000076,507,20.1,129383.64,26006.11,0,2026-06-30
CRP000077,CUS000077,876,60.08,80384.12,48294.78,0,2026-06-18
CRP000078,CUS000078,780,34.08,6706.22,2285.48,0,2025-11-20
CRP000079,CUS000079,718,15.84,38286.77,6064.62,0,2026-02-21
CRP000080,CUS000080,451,82.19,8272.07,6798.81,1,2025-12-03
CRP000081,CUS000081,560,40.85,102575.19,41901.97,0,2025-11-26
CRP000082,CUS000082,357,14.13,42919.1,6064.47,0,2026-06-19
CRP000083,CUS000083,659,3.72,93362.8,3473.1,0,2025-10-29
CRP000084,CUS000084,408,82.82,11306.23,9363.82,0,2025-08-26
CRP000085,CUS000085,353,9.95,102177.44,10166.66,0,2026-04-24
CRP000086,CUS000086,507,35.38,285285.62,100934.05,2,2025-09-13
CRP000087,CUS000087,541,84.48,33279.07,28114.16,0,2026-07-15
CRP000088,CUS000088,482,69.03,26892.52,18563.91,0,2026-07-05
CRP000089,CUS000089,353,74.63,10580.63,7896.32,0,2026-07-16
CRP000090,CUS000090,512,53.11,71679.93,38069.21,1,2026-04-19
CRP000091,CUS000091,707,20.43,56478.65,11538.59,2,2026-06-18
CRP000092,CUS000092,793,87.22,24295.23,21190.3,0,2026-01-31
CRP000093,CUS000093,753,22.62,65797.23,14883.33,0,2025-12-24
CRP000094,CUS000094,378,21.41,45629.07,9769.18,0,2026-01-14
CRP000095,CUS000095,765,80.88,9686.94,7834.8,1,2026-01-20
CRP000096,CUS000096,584,23.65,49114.96,11615.69,0,2025-11-19
CRP000097,CUS000097,891,92.12,36308.13,33447.05,1,2026-02-03
CRP000098,CUS000098,865,65.7,52898.08,34754.04,0,2026-04-14
CRP000099,CUS000099,357,34.09,25570.05,8716.83,0,2026-06-27
CRP000100,CUS000100,507,1.12,40177.04,449.98,0,2025-10-25
CRP000101,CUS000101,496,23.32,17656.01,4117.38,0,2025-10-13
CRP000102,CUS000102,665,52.73,25821.11,13615.47,1,2026-06-09
CRP000103,CUS000103,614,26.58,80882.74,21498.63,0,2025-09-10
CRP000104,CUS000104,354,3.24,34129.24,1105.79,1,2026-03-28
CRP000105,CUS000105,711,20.06,12454.87,2498.45,1,2025-09-17
CRP000106,CUS000106,822,52.15,59938.86,31258.12,0,2025-12-29
CRP000107,CUS000107,499,73.71,97625.82,71959.99,0,2025-09-17
CRP000108,CUS000108,576,68.23,150544.27,102716.36,0,2025-09-24
CRP000109,CUS000109,533,29.69,8935.56,2652.97,0,2025-09-01
CRP000110,CUS000110,889,19.99,42810.52,8557.82,0,2025-11-01
CRP000111,CUS000111,441,68.22,8766.04,5980.19,0,2026-07-23
CRP000112,CUS000112,692,33.12,9668.02,3202.05,1,2025-10-13
CRP000113,CUS000113,830,73.38,66001.14,48431.64,0,2026-06-01
CRP000114,CUS000114,451,23.22,15897.13,3691.31,1,2026-01-02
CRP000115,CUS000115,857,78.31,22184.89,17372.99,1,2025-11-02
CRP000116,CUS000116,468,76.18,68920.8,52503.87,0,2026-03-03
CRP000117,CUS000117,382,25.42,51076.1,12983.54,1,2026-01-05
CRP000118,CUS000118,512,41.36,55199.84,22830.65,1,2025-08-19
CRP000119,CUS000119,404,4.53,7858.55,355.99,0,2026-06-15
CRP000120,CUS000120,401,17.64,32304.13,5698.45,0,2026-07-15
CRP000121,CUS000121,476,44.17,31110.95,13741.71,1,2026-02-27
CRP000122,CUS000122,813,27.98,66213.08,18526.42,1,2026-07-15
CRP000123,CUS000123,895,33.18,27366.9,9080.34,2,2026-04-04
CRP000124,CUS000124,741,28.92,36812.89,10646.29,1,2026-06-04
CRP000125,CUS000125,367,13.6,11360.0,1544.96,2,2026-03-01
CRP000126,CUS000126,652,2.0,16104.07,322.08,1,2026-07-06
CRP000127,CUS000127,547,32.48,114703.89,37255.82,0,2025-09-08
CRP000128,CUS000128,351,7.84,21661.06,1698.23,0,2026-04-06
CRP000129,CUS000129,586,57.7,18091.78,10438.96,1,2026-07-01
CRP000130,CUS000130,520,15.86,37149.77,5891.95,0,2026-02-21
CRP000131,CUS000131,687,6.98,28945.89,2020.42,0,2025-09-30
CRP000132,CUS000132,863,14.57,22664.73,3302.25,2,2026-04-29
CRP000133,CUS000133,302,1.43,34348.71,491.19,2,2026-03-22
CRP000134,CUS000134,663,34.4,11518.4,3962.33,0,2025-10-17
CRP000135,CUS000135,497,80.49,36705.16,29543.98,1,2026-02-11
CRP000136,CUS000136,651,31.9,37297.01,11897.75,0,2025-10-28
CRP000137,CUS000137,581,85.17,38759.62,33011.57,0,2026-07-31
CRP000138,CUS000138,739,64.96,76547.6,49725.32,0,2025-11-20
CRP000139,CUS000139,703,53.69,12639.35,6786.07,2,2026-01-06
CRP000140,CUS000140,535,35.82,70770.66,25350.05,0,2026-06-20
CRP000141,CUS000141,663,83.71,11896.94,9958.93,0,2026-06-28
CRP000142,CUS000142,443,1.84,21642.68,398.23,0,2026-06-21
CRP000143,CUS000143,876,63.08,20732.28,13077.92,0,2025-09-30
CRP000144,CUS000144,406,55.39,19636.19,10876.49,0,2025-08-22
CRP000145,CUS000145,455,27.67,18714.0,5178.16,0,2025-10-04
CRP000146,CUS000146,773,6.37,48262.81,3074.34,0,2025-12-04
CRP000147,CUS000147,803,23.99,36561.35,8771.07,1,2026-01-13
CRP000148,CUS000148,778,7.11,36138.47,2569.45,0,2026-05-11
CRP000149,CUS000149,779,88.54,83041.47,73524.92,0,2026-07-14
CRP000150,CUS000150,337,0.89,29525.86,262.78,0,2026-02-23
CRP000151,CUS000151,528,39.96,39966.84,15970.75,0,2026-06-03
CRP000152,CUS000152,836,69.61,56060.51,39023.72,0,2026-06-30
CRP000153,CUS000153,847,29.45,34815.59,10253.19,0,2025-08-20
CRP000154,CUS000154,730,26.08,9919.66,2587.05,1,2026-07-06
CRP000155,CUS000155,760,93.79,41187.81,38630.05,0,2026-02-01
CRP000156,CUS000156,336,6.52,121715.48,7935.85,1,2025-10-29
CRP000157,CUS000157,344,59.54,34189.46,20356.4,1,2026-05-18
CRP000158,CUS000158,812,57.35,34917.18,20025.0,0,2025-09-23
CRP000159,CUS000159,664,21.86,46531.2,10171.72,1,2026-02-15
CRP000160,CUS000160,696,77.0,43686.42,33638.54,0,2026-07-26
CRP000161,CUS000161,595,42.46,21014.52,8922.77,0,2026-01-08
CRP000162,CUS000162,670,60.98,24422.0,14892.54,1,2026-06-02
CRP000163,CUS000163,428,19.21,34529.42,6633.1,0,2026-05-10
CRP000164,CUS000164,320,2.37,55091.58,1305.67,0,2025-08-07
CRP000165,CUS000165,759,13.82,26835.13,3708.61,0,2026-07-05
CRP000166,CUS000166,820,21.11,120742.38,25488.72,0,2026-06-09
CRP000167,CUS000167,479,69.75,32198.64,22458.55,0,2025-11-28
CRP000168,CUS000168,474,48.89,9046.23,4422.7,0,2026-04-10
CRP000169,CUS000169,847,36.57,93984.9,34370.28,0,2025-12-23
CRP000170,CUS000170,537,71.78,4123.67,2959.97,0,2026-05-06
CRP000171,CUS000171,692,6.65,20420.64,1357.97,0,2026-08-05
CRP000172,CUS000172,683,12.44,37252.07,4634.16,0,2025-09-13
CRP000173,CUS000173,725,82.59,116996.02,96627.01,0,2025-10-29
CRP000174,CUS000174,878,34.42,142349.75,48996.78,0,2026-04-17
CRP000175,CUS000175,651,25.57,25439.61,6504.91,0,2026-03-30
CRP000176,CUS000176,615,31.14,12283.93,3825.22,1,2025-10-14
CRP000177,CUS000177,437,14.48,53222.8,7706.66,0,2025-11-16
CRP000178,CUS000178,801,38.79,18493.01,7173.44,0,2026-02-13
CRP000179,CUS000179,422,79.84,83056.69,66312.46,0,2026-04-16
CRP000180,CUS000180,662,62.15,44095.0,27405.04,0,2026-05-18
CRP000181,CUS000181,431,58.93,22243.87,13108.31,0,2026-03-31
CRP000182,CUS000182,784,4.66,45210.17,2106.79,0,2026-05-07
CRP000183,CUS000183,788,85.96,21537.74,18513.84,0,2025-11-25
CRP000184,CUS000184,705,83.94,13382.95,11233.65,0,2026-08-07
CRP000185,CUS000185,476,82.13,7423.73,6097.11,1,2026-05-20
CRP000186,CUS000186,714,46.36,64737.69,30012.39,0,2026-01-18
CRP000187,CUS000187,597,22.25,52486.74,11678.3,0,2025-11-04
CRP000188,CUS000188,871,37.56,19122.97,7182.59,0,2025-08-22
CRP000189,CUS000189,717,36.53,56312.75,20571.05,0,2025-12-30
CRP000190,CUS000190,886,70.25,75893.06,53314.87,1,2025-11-17
CRP000191,CUS000191,444,64.56,14079.61,9089.8,0,2025-12-18
CRP000192,CUS000192,784,80.16,51084.71,40949.5,0,2026-03-12
CRP000193,CUS000193,447,41.34,14073.28,5817.89,0,2025-09-27
CRP000194,CUS000194,363,86.93,82915.22,72078.2,0,2026-02-03
CRP000195,CUS000195,859,70.88,95761.61,67875.83,1,2026-02-25
CRP000196,CUS000196,654,78.38,22852.62,17911.88,1,2026-04-04
CRP000197,CUS000197,568,22.66,5933.46,1344.52,1,2026-07-04
CRP000198,CUS000198,708,91.13,40925.55,37295.45,0,2025-08-23
CRP000199,CUS000199,763,72.4,53121.5,38459.97,0,2026-04-17
CRP000200,CUS000200,373,28.86,35150.83,10144.53,0,2026-03-11
CRP000201,CUS000201,524,36.13,17225.59,6223.61,0,2025-11-19
CRP000202,CUS000202,789,57.56,151919.01,87444.58,0,2026-01-21
CRP000203,CUS000203,594,9.56,32506.13,3107.59,0,2026-02-05
CRP000204,CUS000204,442,74.56,68859.92,51341.96,0,2025-09-02
CRP000205,CUS000205,308,43.9,78724.11,34559.88,0,2025-08-24
CRP000206,CUS000206,540,72.3,22161.7,16022.91,1,2026-06-17
CRP000207,CUS000207,601,29.02,119781.45,34760.58,0,2026-02-07
CRP000208,CUS000208,532,82.4,7409.84,6105.71,0,2025-09-26
CRP000209,CUS000209,401,61.78,20365.81,12582.0,0,2025-08-27
CRP000210,CUS000210,660,42.27,15928.19,6732.85,0,2026-02-16
CRP000211,CUS000211,427,40.11,35096.42,14077.17,0,2026-05-18
CRP000212,CUS000212,387,15.13,218147.65,33005.74,0,2026-03-28
CRP000213,CUS000213,439,11.55,67277.41,7770.54,2,2025-08-21
CRP000214,CUS000214,664,0.63,2220.68,13.99,0,2026-07-30
CRP000215,CUS000215,623,46.36,291324.81,135058.18,0,2025-10-25
CRP000216,CUS000216,652,91.07,64265.34,58526.45,0,2025-08-21
CRP000217,CUS000217,428,4.95,73261.37,3626.44,0,2025-09-07
CRP000218,CUS000218,400,94.55,24104.78,22791.07,1,2026-08-01
CRP000219,CUS000219,542,90.43,32938.8,29786.56,0,2025-09-15
CRP000220,CUS000220,482,92.06,14492.03,13341.36,0,2025-12-19
CRP000221,CUS000221,732,43.02,11697.89,5032.43,0,2025-09-25
CRP000222,CUS000222,767,44.95,5954.87,2676.71,0,2026-01-22
CRP000223,CUS000223,811,69.34,105729.54,73312.86,0,2025-08-07
CRP000224,CUS000224,348,37.47,31054.18,11636.0,0,2026-06-10
CRP000225,CUS000225,489,3.86,159428.99,6153.96,0,2026-07-30
CRP000226,CUS000226,511,46.89,40041.81,18775.6,0,2025-12-30
CRP000227,CUS000227,623,61.13,85764.62,52427.91,0,2026-06-16
CRP000228,CUS000228,666,48.54,51904.0,25194.2,0,2026-02-01
CRP000229,CUS000229,662,34.31,35374.1,12136.85,1,2025-11-27
CRP000230,CUS000230,499,89.74,144690.74,129845.47,0,2025-10-18
CRP000231,CUS000231,764,91.94,35441.29,32584.72,0,2025-10-21
CRP000232,CUS000232,811,18.49,53784.21,9944.7,0,2026-04-15
CRP000233,CUS000233,858,89.22,48725.13,43472.56,0,2026-02-01
CRP000234,CUS000234,401,6.55,28579.43,1871.95,0,2026-01-02
CRP000235,CUS000235,562,90.42,21685.09,19607.66,1,2026-05-20
CRP000236,CUS000236,882,86.36,35246.61,30438.97,2,2025-12-31
CRP000237,CUS000237,559,81.78,21511.19,17591.85,0,2025-11-07
CRP000238,CUS000238,579,48.51,108009.22,52395.27,0,2026-02-10
CRP000239,CUS000239,721,37.6,40443.1,15206.61,1,2026-02-26
CRP000240,CUS000240,328,21.48,28997.91,6228.75,1,2026-02-18
CRP000241,CUS000241,738,2.59,105489.64,2732.18,0,2026-01-16
CRP000242,CUS000242,721,60.51,18642.32,11280.47,0,2025-11-05
CRP000243,CUS000243,474,10.68,26400.04,2819.52,1,2026-04-28
CRP000244,CUS000244,695,82.76,101321.39,83853.58,0,2026-06-20
CRP000245,CUS000245,700,75.73,118192.75,89507.37,1,2026-01-14
CRP000246,CUS000246,709,62.82,21588.56,13561.93,0,2025-10-02
CRP000247,CUS000247,600,62.24,12082.14,7519.92,2,2025-09-27
CRP000248,CUS000248,512,75.42,103349.3,77946.04,1,2026-05-19
CRP000249,CUS000249,709,30.66,9335.62,2862.3,0,2025-10-21
CRP000250,CUS000250,320,23.94,82785.0,19818.73,0,2026-04-04
CRP000251,CUS000251,725,28.66,93044.76,26666.63,1,2026-07-30
CRP000252,CUS000252,672,83.81,25401.22,21288.76,0,2025-08-30
CRP000253,CUS000253,384,10.72,68429.32,7335.62,0,2026-06-13
CRP000254,CUS000254,377,62.93,26423.41,16628.25,0,2025-08-09
CRP000255,CUS000255,590,91.4,86010.53,78613.62,0,2026-05-03
CRP000256,CUS000256,696,82.33,70136.37,57743.27,0,2025-11-21
CRP000257,CUS000257,667,22.3,48518.46,10819.62,0,2026-07-31
CRP000258,CUS000258,407,65.47,33830.69,22148.95,1,2025-12-23
CRP000259,CUS000259,811,44.38,28822.69,12791.51,0,2026-03-03
CRP000260,CUS000260,475,53.9,81058.35,43690.45,0,2026-03-18
CRP000261,CUS000261,481,61.57,39626.48,24398.02,0,2026-04-09
CRP000262,CUS000262,364,65.23,51227.43,33415.65,0,2025-11-26
CRP000263,CUS000263,371,25.77,45519.8,11730.45,0,2026-04-30
CRP000264,CUS000264,856,71.29,23281.99,16597.73,1,2025-10-14
CRP000265,CUS000265,334,85.82,31823.38,27310.82,0,2026-03-07
CRP000266,CUS000266,529,32.37,25741.98,8332.68,1,2026-07-14
CRP000267,CUS000267,332,34.73,19802.52,6877.42,0,2025-10-13
CRP000268,CUS000268,705,7.46,25075.09,1870.6,0,2026-07-23
CRP000269,CUS000269,306,70.6,25358.64,17903.2,0,2026-04-26
CRP000270,CUS000270,489,32.33,40164.34,12985.13,1,2025-08-21
CRP000271,CUS000271,470,55.35,17885.28,9899.5,0,2026-05-24
CRP000272,CUS000272,522,36.25,45313.37,16426.1,2,2025-09-21
CRP000273,CUS000273,549,50.14,37139.02,18621.5,0,2026-06-16
CRP000274,CUS000274,396,73.7,16912.75,12464.7,0,2025-10-20
CRP000275,CUS000275,737,18.85,5116.91,964.54,0,2026-04-23
CRP000276,CUS000276,378,1.63,19723.01,321.49,0,2026-03-18
CRP000277,CUS000277,790,56.61,43227.67,24471.18,0,2025-10-13
CRP000278,CUS000278,415,35.17,89868.84,31606.87,0,2025-08-29
CRP000279,CUS000279,374,54.9,26377.83,14481.43,1,2026-07-01
CRP000280,CUS000280,578,84.35,136658.47,115271.42,1,2025-12-23
CRP000281,CUS000281,724,28.91,7034.68,2033.73,0,2026-03-10
CRP000282,CUS000282,626,92.18,149127.1,137465.36,1,2026-01-25
CRP000283,CUS000283,554,49.31,35821.56,17663.61,1,2025-09-27
CRP000284,CUS000284,346,69.55,18198.97,12657.38,0,2026-04-27
CRP000285,CUS000285,356,80.36,83478.81,67083.57,0,2026-05-09
CRP000286,CUS000286,775,31.13,4890.19,1522.32,0,2025-12-15
CRP000287,CUS000287,493,1.43,60266.19,861.81,0,2026-04-10
CRP000288,CUS000288,744,27.26,24340.42,6635.2,0,2025-12-25
CRP000289,CUS000289,707,38.96,101477.25,39535.54,1,2025-10-15
CRP000290,CUS000290,602,77.03,61019.49,47003.31,0,2026-05-08
CRP000291,CUS000291,742,45.51,155095.88,70584.13,0,2026-02-08
CRP000292,CUS000292,846,40.71,18699.42,7612.53,0,2026-06-21
CRP000293,CUS000293,423,77.68,43355.69,33678.7,1,2026-06-01
CRP000294,CUS000294,364,78.44,133320.83,104576.86,0,2025-12-17
CRP000295,CUS000295,450,76.65,48927.09,37502.61,0,2026-05-26
CRP000296,CUS000296,379,63.86,93396.21,59642.82,0,2025-09-21
CRP000297,CUS000297,715,2.81,21161.22,594.63,0,2026-03-23
CRP000298,CUS000298,462,33.56,49715.7,16684.59,0,2026-07-16
CRP000299,CUS000299,807,52.04,31064.62,16166.03,1,2026-01-24
CRP000300,CUS000300,724,28.03,39866.85,11174.68,0,2025-10-01
CRP000301,CUS000301,563,40.07,17891.97,7169.31,0,2026-06-19
CRP000302,CUS000302,439,10.26,7977.13,818.45,1,2026-01-18
CRP000303,CUS000303,655,2.78,4464.61,124.12,0,2026-02-11
CRP000304,CUS000304,682,53.65,37603.94,20174.51,0,2025-08-14
CRP000305,CUS000305,393,69.06,13616.84,9403.79,0,2025-09-07
CRP000306,CUS000306,527,51.2,19722.68,10098.01,0,2025-10-25
CRP000307,CUS000307,591,32.96,20224.58,6666.02,0,2026-03-24
CRP000308,CUS000308,731,90.33,21142.88,19098.36,1,2026-01-07
CRP000309,CUS000309,798,21.02,16902.92,3552.99,1,2026-04-08
CRP000310,CUS000310,689,49.28,90768.12,44730.53,0,2025-12-09
CRP000311,CUS000311,674,24.99,49044.78,12256.29,0,2025-08-19
CRP000312,CUS000312,729,89.92,118293.6,106369.61,0,2025-11-26
CRP000313,CUS000313,375,1.28,16714.55,213.95,0,2026-06-08
CRP000314,CUS000314,354,83.57,6959.77,5816.28,0,2026-02-05
CRP000315,CUS000315,586,52.98,15177.62,8041.1,0,2025-08-19
CRP000316,CUS000316,520,88.82,19407.41,17237.66,1,2025-09-04
CRP000317,CUS000317,453,74.08,5833.84,4321.71,0,2025-09-17
CRP000318,CUS000318,622,63.19,200344.32,126597.58,0,2026-01-13
CRP000319,CUS000319,678,71.3,21465.23,15304.71,0,2026-05-09
CRP000320,CUS000320,663,78.83,26967.02,21258.1,0,2026-07-28
CRP000321,CUS000321,666,28.49,15991.62,4556.01,1,2025-11-05
CRP000322,CUS000322,820,67.85,29193.89,19808.05,0,2026-03-22
CRP000323,CUS000323,434,12.47,21297.74,2655.83,0,2026-02-11
CRP000324,CUS000324,314,77.12,24067.85,18561.13,0,2026-02-11
CRP000325,CUS000325,882,89.78,48508.67,43551.08,0,2025-12-11
CRP000326,CUS000326,426,58.1,4021.62,2336.56,0,2026-07-30
CRP000327,CUS000327,691,82.94,150301.68,124660.21,0,2026-07-04
CRP000328,CUS000328,778,94.23,28674.52,27020.0,1,2025-12-24
CRP000329,CUS000329,338,15.34,27748.48,4256.62,1,2025-09-04
CRP000330,CUS000330,694,24.66,48183.77,11882.12,0,2026-06-23
CRP000331,CUS000331,420,46.15,180127.97,83129.06,2,2026-04-28
CRP000332,CUS000332,503,77.9,88399.23,68863.0,0,2026-04-14
CRP000333,CUS000333,892,78.02,16791.57,13100.78,0,2026-02-17
CRP000334,CUS000334,515,75.31,15822.63,11916.02,0,2026-03-12
CRP000335,CUS000335,627,88.7,17099.92,15167.63,0,2026-04-20
CRP000336,CUS000336,683,86.05,51679.55,44470.25,1,2026-05-16
CRP000337,CUS000337,807,44.02,14029.44,6175.76,0,2025-09-03
CRP000338,CUS000338,742,81.52,21253.03,17325.47,1,2025-08-20
CRP000339,CUS000339,502,31.31,84523.1,26464.18,1,2025-10-20
CRP000340,CUS000340,766,78.57,43640.15,34288.07,0,2026-06-26
CRP000341,CUS000341,455,88.64,15824.05,14026.44,1,2025-09-30
CRP000342,CUS000342,514,48.86,16514.07,8068.77,0,2026-03-22
CRP000343,CUS000343,597,6.91,66520.24,4596.55,0,2025-10-02
CRP000344,CUS000344,474,45.89,26883.81,12336.98,0,2026-01-30
CRP000345,CUS000345,392,25.2,64624.98,16285.49,0,2025-08-08
CRP000346,CUS000346,565,52.95,26471.07,14016.43,0,2026-01-19
CRP000347,CUS000347,842,54.73,24351.96,13327.83,0,2026-02-04
CRP000348,CUS000348,542,40.51,40928.48,16580.13,0,2026-06-13
CRP000349,CUS000349,869,66.01,450814.9,297582.92,0,2026-01-08
CRP000350,CUS000350,511,46.25,9068.37,4194.12,0,2026-07-27
CRP000351,CUS000351,560,72.73,23886.43,17372.6,0,2026-06-18
CRP000352,CUS000352,817,11.28,18820.79,2122.99,1,2026-02-14
CRP000353,CUS000353,490,72.73,22346.51,16252.62,0,2026-02-18
CRP000354,CUS000354,360,54.35,31835.34,17302.51,0,2026-03-03
CRP000355,CUS000355,898,7.96,17680.49,1407.37,1,2025-09-03
CRP000356,CUS000356,570,23.56,12567.09,2960.81,0,2026-03-05
CRP000357,CUS000357,462,15.46,47635.24,7364.41,0,2026-01-31
CRP000358,CUS000358,875,81.36,63560.38,51712.73,0,2026-08-01
CRP000359,CUS000359,346,71.29,25783.09,18380.76,0,2025-09-29
CRP000360,CUS000360,894,31.92,75648.12,24146.88,1,2025-12-26
CRP000361,CUS000361,314,84.88,36621.85,31084.63,0,2025-11-15
CRP000362,CUS000362,415,75.13,55801.73,41923.84,1,2026-04-23
CRP000363,CUS000363,302,7.08,37963.42,2687.81,0,2026-01-14
CRP000364,CUS000364,813,91.78,12695.64,11652.06,0,2025-08-20
CRP000365,CUS000365,756,88.98,54983.95,48924.72,0,2025-09-15
CRP000366,CUS000366,672,51.37,45921.47,23589.86,1,2026-06-24
CRP000367,CUS000367,726,64.09,25783.06,16524.36,0,2025-09-15
CRP000368,CUS000368,728,50.27,13796.76,6935.63,0,2025-11-24
CRP000369,CUS000369,855,41.0,65209.02,26735.7,1,2026-05-25
CRP000370,CUS000370,663,18.27,37953.57,6934.12,0,2026-07-04
CRP000371,CUS000371,316,70.44,58567.62,41255.03,1,2025-08-19
CRP000372,CUS000372,861,11.12,23770.83,2643.32,0,2026-05-31
CRP000373,CUS000373,617,67.64,101575.21,68705.47,0,2025-08-23
CRP000374,CUS000374,565,64.01,20631.1,13205.97,0,2026-05-22
CRP000375,CUS000375,323,93.66,25124.98,23532.06,0,2026-07-25
