risk_score_id,customer_id,risk_score,risk_category,model_name,model_version,score_timestamp
RSK000098,CUS000098,11.72,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000099,CUS000099,10.71,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000100,CUS000100,49.55,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000101,CUS000101,28.37,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000102,CUS000102,12.8,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000103,CUS000103,50.75,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000104,CUS000104,29.22,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000105,CUS000105,20.52,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000106,CUS000106,28.63,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000107,CUS000107,37.98,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000108,CUS000108,22.85,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000109,CUS000109,28.61,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000110,CUS000110,22.33,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000111,CUS000111,32.55,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000112,CUS000112,35.06,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000113,CUS000113,34.12,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000114,CUS000114,28.4,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000115,CUS000115,40.25,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000116,CUS000116,46.07,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000117,CUS000117,37.25,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000118,CUS000118,35.98,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000119,CUS000119,19.02,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000120,CUS000120,41.16,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000121,CUS000121,19.96,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000122,CUS000122,9.29,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000123,CUS000123,43.34,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000124,CUS000124,10.96,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000125,CUS000125,23.47,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000126,CUS000126,39.96,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000127,CUS000127,7.24,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000128,CUS000128,20.87,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000129,CUS000129,24.67,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000130,CUS000130,45.33,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000131,CUS000131,34.61,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000132,CUS000132,42.67,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000133,CUS000133,17.42,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000134,CUS000134,45.01,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000135,CUS000135,23.99,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000136,CUS000136,7.84,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000137,CUS000137,37.11,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000138,CUS000138,26.56,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000139,CUS000139,49.94,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000140,CUS000140,34.79,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000141,CUS000141,32.08,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000142,CUS000142,51.0,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000143,CUS000143,41.77,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000144,CUS000144,28.41,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000145,CUS000145,33.02,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000146,CUS000146,54.09,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000147,CUS000147,39.73,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000148,CUS000148,16.88,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000149,CUS000149,31.96,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000150,CUS000150,29.91,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000151,CUS000151,26.57,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000152,CUS000152,21.23,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000153,CUS000153,15.44,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000154,CUS000154,31.92,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000155,CUS000155,47.85,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000156,CUS000156,54.51,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000157,CUS000157,32.77,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000158,CUS000158,26.93,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000159,CUS000159,27.83,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000160,CUS000160,31.8,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000161,CUS000161,19.47,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000162,CUS000162,15.4,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000163,CUS000163,35.0,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000164,CUS000164,50.86,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000165,CUS000165,12.05,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000166,CUS000166,23.03,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000167,CUS000167,20.23,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000168,CUS000168,34.13,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000169,CUS000169,42.48,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000170,CUS000170,37.23,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000171,CUS000171,19.84,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000172,CUS000172,42.6,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000173,CUS000173,36.84,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000174,CUS000174,34.72,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000175,CUS000175,41.01,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000176,CUS000176,40.0,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000177,CUS000177,31.44,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000178,CUS000178,41.81,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000179,CUS000179,6.72,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000180,CUS000180,33.8,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000181,CUS000181,9.47,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000182,CUS000182,27.14,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000183,CUS000183,20.78,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000184,CUS000184,32.16,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000185,CUS000185,49.0,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000186,CUS000186,52.13,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000187,CUS000187,25.5,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000188,CUS000188,54.62,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000189,CUS000189,10.12,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000190,CUS000190,49.39,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000191,CUS000191,28.22,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000192,CUS000192,32.62,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000193,CUS000193,29.84,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000194,CUS000194,28.25,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000195,CUS000195,49.08,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000196,CUS000196,38.4,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000197,CUS000197,31.39,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000198,CUS000198,12.46,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000199,CUS000199,13.44,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000200,CUS000200,24.12,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000201,CUS000201,54.6,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000202,CUS000202,45.77,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000203,CUS000203,27.29,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000204,CUS000204,31.11,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000205,CUS000205,27.58,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000206,CUS000206,35.25,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000207,CUS000207,24.84,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000208,CUS000208,20.58,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000209,CUS000209,28.35,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000210,CUS000210,31.98,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000211,CUS000211,52.13,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000212,CUS000212,41.96,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000213,CUS000213,46.05,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000214,CUS000214,52.62,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000215,CUS000215,33.26,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000216,CUS000216,23.34,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000217,CUS000217,36.91,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000218,CUS000218,41.38,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000219,CUS000219,49.34,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000220,CUS000220,39.61,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000221,CUS000221,24.27,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000222,CUS000222,12.52,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000223,CUS000223,37.72,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000224,CUS000224,42.16,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000225,CUS000225,41.29,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000226,CUS000226,43.36,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000227,CUS000227,35.42,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000228,CUS000228,39.01,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000229,CUS000229,8.1,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000230,CUS000230,33.09,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000231,CUS000231,8.63,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000232,CUS000232,36.68,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000233,CUS000233,46.24,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000234,CUS000234,28.31,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000235,CUS000235,38.27,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000236,CUS000236,47.89,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000237,CUS000237,46.99,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000238,CUS000238,26.31,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000239,CUS000239,27.73,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000240,CUS000240,31.95,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000241,CUS000241,41.15,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000242,CUS000242,24.45,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000243,CUS000243,27.3,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000244,CUS000244,39.8,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000245,CUS000245,19.4,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000246,CUS000246,23.63,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000247,CUS000247,32.76,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000248,CUS000248,31.81,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000249,CUS000249,25.63,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000250,CUS000250,33.26,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000251,CUS000251,40.86,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000252,CUS000252,40.48,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000253,CUS000253,19.37,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000254,CUS000254,47.21,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000255,CUS000255,29.58,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000256,CUS000256,24.75,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000257,CUS000257,26.39,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000258,CUS000258,2.76,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000259,CUS000259,38.37,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000260,CUS000260,36.47,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000261,CUS000261,39.03,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000262,CUS000262,39.76,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000263,CUS000263,36.23,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000264,CUS000264,39.75,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000265,CUS000265,9.06,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000266,CUS000266,31.43,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000267,CUS000267,29.87,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000268,CUS000268,27.58,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000269,CUS000269,47.21,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000270,CUS000270,31.72,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000271,CUS000271,18.73,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000272,CUS000272,52.98,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000273,CUS000273,34.57,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000274,CUS000274,25.2,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000275,CUS000275,47.04,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000276,CUS000276,40.75,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000277,CUS000277,25.27,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000278,CUS000278,56.93,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000279,CUS000279,29.65,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000280,CUS000280,8.6,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000281,CUS000281,44.55,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000282,CUS000282,3.21,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000283,CUS000283,17.65,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000284,CUS000284,30.46,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000285,CUS000285,28.99,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000286,CUS000286,27.13,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000287,CUS000287,20.96,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000288,CUS000288,38.08,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000289,CUS000289,57.99,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000290,CUS000290,26.01,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000291,CUS000291,24.2,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000292,CUS000292,49.97,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000293,CUS000293,10.81,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000294,CUS000294,3.3,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000295,CUS000295,23.08,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000296,CUS000296,7.43,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000297,CUS000297,45.43,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000298,CUS000298,34.68,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000299,CUS000299,39.13,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000300,CUS000300,37.25,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000301,CUS000301,26.16,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000302,CUS000302,42.77,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000303,CUS000303,40.67,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000304,CUS000304,31.75,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000305,CUS000305,43.8,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000306,CUS000306,41.62,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000307,CUS000307,32.37,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000308,CUS000308,30.34,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000309,CUS000309,40.04,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000310,CUS000310,37.18,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000311,CUS000311,27.61,Low,SuFinex Customer Risk Model,1.0,2026-06-30
RSK000312,CUS000312,53.2,Medium,SuFinex Customer Risk Model,1.0,2026-06-30
