loan_id,customer_id,institution_id,loan_type,loan_amount,outstanding_amount,interest_rate,loan_status,start_date,end_date
LOAN000022,CUS006611,INS000005,Education,573348.38,424406.74,14.047,Active,2023-12-26,2024-12-26
LOAN000023,CUS007643,INS000004,Personal,255947.35,6191.58,13.441,Active,2025-05-14,2030-05-14
LOAN000024,CUS000484,INS000005,Home,344859.68,12800.57,16.988,Active,2025-09-06,2028-09-06
LOAN000025,CUS004671,INS000001,Personal,427385.02,367333.09,9.609,Active,2022-01-11,2024-01-11
LOAN000026,CUS009393,INS000001,Auto,169802.88,40182.66,10.2,Active,2023-01-13,2028-01-13
LOAN000027,CUS009109,INS000005,Personal,56111.94,46338.81,7.794,Active,2021-11-12,2024-11-12
LOAN000028,CUS003507,INS000005,Personal,66440.32,59583.6,16.442,Closed,2025-02-15,2028-02-15
LOAN000029,CUS002959,INS000003,Personal,65274.7,9931.13,12.205,Active,2022-11-18,2025-11-18
LOAN000030,CUS000764,INS000005,Personal,60893.77,5118.63,12.333,Active,2023-11-04,2025-11-04
LOAN000031,CUS008902,INS000001,Home,58960.23,41322.1,12.745,Active,2023-03-30,2026-03-30
LOAN000032,CUS003245,INS000005,Home,59148.19,52215.24,17.86,Active,2025-12-05,2026-12-05
LOAN000033,CUS002398,INS000001,Personal,143329.79,105436.2,8.848,Active,2022-03-02,2024-03-02
LOAN000034,CUS008963,INS000004,Home,55077.67,24064.61,16.166,Active,2025-01-07,2027-01-07
LOAN000035,CUS003463,INS000005,Personal,457043.35,27802.86,8.442,Active,2022-05-09,2026-05-09
LOAN000036,CUS002057,INS000004,Home,50000.0,6594.7,17.914,Active,2022-02-12,2023-02-12
LOAN000037,CUS002632,INS000004,Auto,50000.0,41141.4,13.036,Closed,2024-02-20,2025-02-20
LOAN000038,CUS008157,INS000003,Personal,187569.0,18302.47,10.213,Active,2022-02-06,2026-02-06
LOAN000039,CUS006762,INS000004,Personal,141205.46,11196.17,9.963,Active,2026-04-25,2028-04-25
LOAN000040,CUS000736,INS000002,Home,50000.0,1142.06,16.136,Active,2023-01-26,2025-01-26
LOAN000041,CUS009592,INS000002,Auto,375091.54,118615.31,12.511,Active,2022-04-16,2027-04-16
LOAN000042,CUS002963,INS000001,Auto,348546.48,159786.07,8.684,Active,2026-04-19,2029-04-19
LOAN000043,CUS002332,INS000003,Personal,441622.56,116447.61,12.014,Active,2024-02-21,2028-02-21
LOAN000044,CUS002433,INS000004,Personal,191094.49,92630.42,13.739,Active,2023-01-19,2026-01-19
LOAN000045,CUS003277,INS000002,Personal,492283.27,415580.73,12.952,Closed,2025-03-10,2027-03-10
LOAN000046,CUS003189,INS000005,Personal,253111.52,103693.0,17.493,Active,2022-09-08,2027-09-08
LOAN000047,CUS003325,INS000003,Personal,827791.9,217850.24,13.317,Active,2023-05-16,2027-05-16
LOAN000048,CUS009975,INS000004,Education,148694.57,87179.82,11.764,Active,2022-06-28,2027-06-28
LOAN000049,CUS006990,INS000003,Personal,393406.65,2048.94,16.176,Closed,2024-09-19,2025-09-19
LOAN000050,CUS006244,INS000002,Home,179200.48,67549.61,15.925,Active,2022-03-04,2026-03-04
LOAN000051,CUS009578,INS000003,Personal,151351.57,50530.66,12.427,Active,2025-07-08,2026-07-08
LOAN000052,CUS008101,INS000002,Education,224274.29,48312.13,9.806,Active,2026-02-07,2030-02-07
LOAN000053,CUS002549,INS000002,Auto,75723.45,36291.17,8.971,Closed,2021-08-28,2022-08-28
LOAN000054,CUS005308,INS000003,Auto,143904.47,13902.81,7.912,Active,2024-07-12,2027-07-12
LOAN000055,CUS006286,INS000004,Home,454976.79,225823.47,9.604,Active,2025-01-12,2029-01-12
LOAN000056,CUS008280,INS000004,Auto,115535.38,78760.14,10.824,Closed,2023-05-11,2027-05-11
LOAN000057,CUS002565,INS000001,Auto,73369.18,69447.15,11.074,Active,2023-07-18,2028-07-18
LOAN000058,CUS009395,INS000004,Education,149541.14,22075.46,15.176,Closed,2022-12-15,2024-12-15
LOAN000059,CUS002183,INS000004,Personal,223846.2,21195.09,14.616,Active,2023-05-28,2026-05-28
LOAN000060,CUS005075,INS000001,Auto,50000.0,41757.98,11.639,Closed,2025-12-17,2028-12-17
LOAN000061,CUS005401,INS000004,Personal,279647.37,117292.63,8.679,Active,2024-03-17,2027-03-17
LOAN000062,CUS006480,INS000004,Home,232030.64,69037.05,10.021,Active,2026-07-09,2028-07-09
LOAN000063,CUS003526,INS000004,Personal,133228.98,116691.98,14.683,Active,2024-06-11,2029-06-11
LOAN000064,CUS000866,INS000005,Personal,104381.33,22061.56,13.65,Defaulted,2026-07-17,2029-07-17
LOAN000065,CUS001049,INS000003,Auto,50000.0,42309.53,14.546,Active,2023-02-23,2028-02-23
LOAN000066,CUS002556,INS000001,Personal,179912.14,140270.04,11.322,Active,2025-12-24,2026-12-24
LOAN000067,CUS001860,INS000001,Personal,527816.69,237426.49,8.453,Closed,2025-04-13,2028-04-13
LOAN000068,CUS009580,INS000005,Auto,168331.68,20437.0,10.846,Closed,2026-01-09,2030-01-09
LOAN000069,CUS003424,INS000002,Personal,202494.87,98640.95,8.423,Defaulted,2021-10-20,2024-10-20
LOAN000070,CUS002953,INS000004,Personal,165748.26,84816.81,9.63,Active,2024-03-14,2028-03-14
LOAN000071,CUS005525,INS000001,Home,199038.22,42794.73,9.705,Active,2025-08-27,2026-08-27
LOAN000072,CUS008026,INS000003,Personal,277090.38,80484.25,16.457,Active,2022-04-12,2025-04-12
LOAN000073,CUS006583,INS000004,Education,87425.04,19314.19,12.997,Active,2021-11-12,2024-11-12
LOAN000074,CUS005232,INS000003,Home,411554.34,287637.72,15.157,Active,2022-09-11,2024-09-11
LOAN000075,CUS001193,INS000005,Education,101444.92,90977.3,9.148,Active,2025-04-03,2029-04-03
LOAN000076,CUS003073,INS000005,Personal,132194.94,74887.36,11.652,Closed,2022-06-27,2026-06-27
LOAN000077,CUS004164,INS000004,Personal,50000.0,42605.63,15.736,Active,2023-09-30,2024-09-30
LOAN000078,CUS008307,INS000001,Personal,378560.44,255924.47,11.647,Active,2023-03-02,2024-03-02
LOAN000079,CUS000858,INS000004,Home,227176.14,23326.96,13.789,Active,2021-11-02,2024-11-02
LOAN000080,CUS000290,INS000004,Personal,78537.98,40408.56,8.468,Active,2025-08-15,2030-08-15
LOAN000081,CUS003812,INS000003,Auto,79993.0,36455.72,16.172,Defaulted,2025-05-15,2027-05-15
LOAN000082,CUS005214,INS000001,Personal,317963.59,98196.92,15.473,Closed,2023-02-03,2024-02-03
LOAN000083,CUS005940,INS000002,Home,117734.03,26293.43,11.578,Active,2026-01-13,2030-01-13
LOAN000084,CUS004643,INS000001,Personal,484327.41,362531.12,17.787,Active,2023-12-03,2024-12-03
LOAN000085,CUS008732,INS000001,Personal,100192.88,88488.24,12.104,Active,2026-04-22,2029-04-22
LOAN000086,CUS004123,INS000003,Auto,130361.23,111896.25,13.899,Closed,2026-07-21,2031-07-21
LOAN000087,CUS005608,INS000003,Personal,206838.71,2916.45,12.878,Closed,2022-05-21,2027-05-21
LOAN000088,CUS009486,INS000001,Auto,161144.41,132535.24,10.439,Active,2023-04-19,2024-04-19
LOAN000089,CUS005850,INS000004,Personal,88251.07,53368.69,12.201,Active,2025-05-15,2027-05-15
LOAN000090,CUS007125,INS000002,Home,198234.49,102007.3,12.771,Active,2023-04-10,2027-04-10
LOAN000091,CUS006314,INS000003,Home,82497.44,10679.17,11.466,Active,2022-11-07,2025-11-07
LOAN000092,CUS008159,INS000005,Personal,217392.26,180752.96,10.605,Active,2023-07-30,2028-07-30
LOAN000093,CUS001107,INS000001,Personal,224795.79,1097.7,15.261,Active,2024-02-20,2025-02-20
LOAN000094,CUS004733,INS000005,Personal,232435.09,53915.23,9.154,Closed,2023-12-27,2024-12-27
LOAN000095,CUS001866,INS000003,Personal,334833.13,132349.04,15.019,Active,2023-08-04,2028-08-04
LOAN000096,CUS008269,INS000001,Auto,81561.56,5351.34,16.933,Active,2023-04-01,2025-04-01
LOAN000097,CUS008264,INS000005,Home,77653.35,64206.63,16.717,Active,2024-02-17,2029-02-17
LOAN000098,CUS009582,INS000004,Home,388728.99,117208.45,11.65,Active,2024-06-15,2027-06-15
LOAN000099,CUS002302,INS000001,Personal,70681.07,12285.34,9.806,Defaulted,2022-08-13,2023-08-13
LOAN000100,CUS001524,INS000001,Education,120048.25,5507.08,16.53,Closed,2023-10-06,2027-10-06
LOAN000101,CUS004910,INS000001,Personal,212787.89,116798.86,12.212,Closed,2025-05-20,2028-05-20
LOAN000102,CUS006712,INS000005,Personal,90681.66,16677.7,11.027,Defaulted,2026-08-01,2029-08-01
LOAN000103,CUS004356,INS000001,Auto,354371.66,143718.2,16.95,Active,2024-10-20,2026-10-20
LOAN000104,CUS007784,INS000001,Education,181665.66,35244.31,8.705,Active,2022-11-08,2026-11-08
LOAN000105,CUS002093,INS000001,Personal,54162.57,24472.07,9.432,Active,2021-12-04,2025-12-04
LOAN000106,CUS008270,INS000003,Home,309008.52,211744.76,12.227,Closed,2022-03-20,2023-03-20
LOAN000107,CUS002381,INS000002,Personal,156271.05,115445.42,12.141,Active,2025-04-26,2026-04-26
LOAN000108,CUS009247,INS000005,Auto,447740.78,260244.81,8.939,Active,2022-04-29,2023-04-29
LOAN000109,CUS005454,INS000004,Personal,425047.07,194482.11,10.535,Active,2022-07-17,2026-07-17
LOAN000110,CUS004664,INS000003,Personal,103470.46,85721.48,11.359,Active,2021-10-13,2022-10-13
LOAN000111,CUS002414,INS000003,Auto,283586.96,125356.96,15.137,Active,2023-12-04,2024-12-04
LOAN000112,CUS005532,INS000003,Education,466504.22,214059.66,17.893,Active,2024-02-21,2025-02-21
LOAN000113,CUS003441,INS000003,Auto,413032.85,323222.23,17.532,Active,2021-10-14,2022-10-14
LOAN000114,CUS004139,INS000003,Home,96120.16,40575.49,14.522,Defaulted,2022-05-07,2026-05-07
LOAN000115,CUS004481,INS000004,Home,294731.28,41722.11,10.667,Closed,2023-05-23,2026-05-23
LOAN000116,CUS000398,INS000003,Personal,50000.0,36598.78,13.322,Active,2022-07-28,2024-07-28
LOAN000117,CUS004503,INS000001,Personal,50416.91,8546.2,11.866,Active,2026-04-28,2029-04-28
LOAN000118,CUS005334,INS000001,Home,141609.11,125944.73,7.622,Defaulted,2024-09-14,2028-09-14
LOAN000119,CUS002911,INS000001,Personal,169002.28,13803.01,10.976,Active,2025-05-01,2028-05-01
LOAN000120,CUS005054,INS000002,Personal,170781.45,9311.94,11.416,Active,2025-02-08,2027-02-08
LOAN000121,CUS004717,INS000004,Home,95896.13,49374.74,9.352,Active,2022-03-27,2024-03-27
LOAN000122,CUS000931,INS000002,Personal,72919.08,46806.37,7.826,Active,2025-10-20,2026-10-20
LOAN000123,CUS003538,INS000001,Personal,379286.3,250837.0,12.227,Closed,2025-10-29,2026-10-29
LOAN000124,CUS001223,INS000004,Home,209827.34,27721.25,7.565,Closed,2025-07-02,2029-07-02
LOAN000125,CUS002734,INS000005,Personal,99788.84,24666.24,16.832,Closed,2025-11-01,2026-11-01
LOAN000126,CUS003941,INS000003,Personal,377218.51,121654.4,8.674,Active,2022-08-16,2025-08-16
LOAN000127,CUS005631,INS000001,Personal,261289.94,54624.38,15.061,Closed,2022-01-05,2025-01-05
LOAN000128,CUS005447,INS000004,Home,461301.09,185719.41,13.037,Active,2024-07-15,2026-07-15
LOAN000129,CUS007921,INS000001,Personal,94095.21,6973.17,16.667,Closed,2024-12-31,2029-12-31
LOAN000130,CUS009669,INS000001,Personal,129799.94,51227.43,10.406,Active,2023-11-12,2028-11-12
LOAN000131,CUS000024,INS000001,Education,488442.27,148118.5,16.171,Active,2026-08-05,2029-08-05
LOAN000132,CUS008878,INS000004,Education,483263.09,261184.99,17.375,Active,2026-05-12,2030-05-12
LOAN000133,CUS005133,INS000002,Personal,180253.13,41943.55,11.014,Active,2026-04-19,2029-04-19
LOAN000134,CUS004121,INS000002,Personal,130444.47,102826.17,7.838,Active,2021-12-31,2024-12-31
LOAN000135,CUS002277,INS000005,Personal,137665.94,98190.84,16.394,Active,2026-08-03,2030-08-03
LOAN000136,CUS007995,INS000004,Home,183899.62,1603.15,9.876,Closed,2025-08-20,2029-08-20
LOAN000137,CUS005565,INS000003,Personal,132262.45,10973.32,12.674,Closed,2025-06-30,2030-06-30
LOAN000138,CUS009174,INS000003,Home,78798.75,12014.07,13.45,Active,2024-11-20,2027-11-20
LOAN000139,CUS003707,INS000005,Education,50000.0,35900.46,15.303,Closed,2022-08-18,2024-08-18
LOAN000140,CUS000301,INS000005,Auto,137883.02,100312.78,11.988,Active,2021-11-23,2025-11-23
LOAN000141,CUS005512,INS000001,Personal,78442.34,13740.06,14.871,Active,2022-12-08,2023-12-08
LOAN000142,CUS008281,INS000003,Personal,80489.31,41964.97,13.775,Active,2021-08-21,2025-08-21
LOAN000143,CUS007198,INS000005,Personal,275132.69,79361.69,10.691,Active,2024-01-30,2029-01-30
LOAN000144,CUS003271,INS000004,Personal,186460.2,165085.5,11.896,Closed,2026-06-22,2029-06-22
LOAN000145,CUS003922,INS000005,Personal,74811.62,47270.12,14.142,Closed,2022-11-22,2027-11-22
LOAN000146,CUS003465,INS000002,Auto,146045.45,62024.8,15.577,Active,2025-03-06,2030-03-06
LOAN000147,CUS001422,INS000001,Education,132419.95,28813.42,9.863,Active,2026-04-27,2030-04-27
LOAN000148,CUS001166,INS000002,Home,284339.03,185257.47,8.172,Closed,2024-10-14,2025-10-14
LOAN000149,CUS001181,INS000002,Education,72724.28,18682.56,15.135,Closed,2022-06-11,2024-06-11
LOAN000150,CUS001467,INS000005,Education,839868.44,792594.11,9.582,Active,2023-11-23,2028-11-23
LOAN000151,CUS005440,INS000003,Personal,186812.77,150499.93,16.79,Active,2025-02-01,2029-02-01
LOAN000152,CUS006717,INS000004,Personal,72558.13,33898.92,11.449,Active,2024-06-28,2029-06-28
LOAN000153,CUS006017,INS000005,Personal,477798.34,366941.08,15.568,Active,2023-01-28,2024-01-28
LOAN000154,CUS000482,INS000004,Education,78812.77,35578.16,10.33,Active,2021-11-07,2022-11-07
LOAN000155,CUS003789,INS000003,Home,52333.56,28522.53,13.93,Active,2024-08-25,2025-08-25
LOAN000156,CUS006621,INS000004,Auto,96373.95,70775.85,9.739,Active,2024-08-26,2026-08-26
LOAN000157,CUS003684,INS000004,Education,53123.8,45182.18,12.037,Closed,2025-12-04,2028-12-04
LOAN000158,CUS001295,INS000003,Personal,360389.02,11061.4,15.074,Active,2025-10-10,2026-10-10
LOAN000159,CUS003177,INS000001,Personal,204195.3,83550.79,15.964,Active,2026-03-03,2028-03-03
LOAN000160,CUS001167,INS000005,Personal,50000.0,40660.06,14.015,Closed,2024-08-15,2027-08-15
LOAN000161,CUS003414,INS000002,Home,50000.0,16058.22,13.673,Active,2024-08-05,2027-08-05
LOAN000162,CUS004436,INS000001,Personal,50000.0,16410.34,9.637,Closed,2025-11-08,2029-11-08
LOAN000163,CUS003018,INS000004,Personal,146515.71,66742.42,7.605,Defaulted,2026-01-27,2030-01-27
LOAN000164,CUS009617,INS000001,Auto,145172.37,102053.59,9.706,Active,2026-01-30,2030-01-30
LOAN000165,CUS002880,INS000003,Auto,264924.75,165027.5,9.482,Closed,2023-12-19,2024-12-19
LOAN000166,CUS007445,INS000003,Personal,382244.39,351262.07,15.66,Active,2022-12-23,2027-12-23
LOAN000167,CUS008205,INS000001,Home,91327.48,5054.44,7.796,Defaulted,2022-02-12,2026-02-12
LOAN000168,CUS009509,INS000005,Personal,242226.07,123947.63,12.736,Active,2024-10-28,2026-10-28
LOAN000169,CUS005998,INS000001,Home,71073.75,23580.53,11.042,Active,2023-07-03,2028-07-03
LOAN000170,CUS005420,INS000005,Personal,1037389.91,395383.23,9.985,Active,2024-08-25,2028-08-25
LOAN000171,CUS005955,INS000002,Home,200526.49,164393.58,15.321,Closed,2024-08-26,2026-08-26
LOAN000172,CUS002110,INS000004,Personal,207777.95,166474.62,10.2,Active,2024-02-29,2028-02-29
LOAN000173,CUS008485,INS000001,Home,50000.0,45588.28,10.231,Active,2021-11-06,2023-11-06
LOAN000174,CUS008493,INS000002,Auto,97485.11,80370.25,16.154,Active,2026-05-28,2030-05-28
LOAN000175,CUS009589,INS000004,Home,655142.6,27494.3,12.329,Active,2023-06-24,2028-06-24
LOAN000176,CUS001815,INS000002,Home,50000.0,19959.08,14.677,Closed,2021-12-29,2024-12-29
LOAN000177,CUS002803,INS000004,Auto,1405941.52,415198.43,17.953,Active,2022-05-20,2023-05-20
LOAN000178,CUS009406,INS000004,Personal,1017112.12,123514.88,14.933,Active,2025-07-27,2028-07-27
LOAN000179,CUS005567,INS000003,Personal,214243.34,158978.04,13.923,Active,2026-04-15,2027-04-15
LOAN000180,CUS000659,INS000001,Education,512929.6,182885.7,11.291,Active,2022-12-05,2027-12-05
LOAN000181,CUS003270,INS000002,Education,180992.78,109807.13,10.048,Closed,2024-09-26,2025-09-26
LOAN000182,CUS008922,INS000005,Auto,318574.61,274571.62,9.023,Active,2025-01-15,2026-01-15
LOAN000183,CUS007972,INS000005,Personal,274052.4,12364.38,14.619,Active,2024-12-10,2025-12-10
LOAN000184,CUS000390,INS000002,Auto,142713.04,16894.53,17.61,Active,2023-07-25,2026-07-25
LOAN000185,CUS002761,INS000004,Personal,77572.42,35726.96,13.207,Active,2021-10-28,2024-10-28
LOAN000186,CUS008028,INS000002,Personal,143364.04,11768.73,11.92,Active,2022-02-26,2024-02-26
LOAN000187,CUS009517,INS000003,Personal,83684.05,55549.47,17.525,Active,2026-04-14,2029-04-14
LOAN000188,CUS004194,INS000003,Personal,90731.17,58604.51,10.442,Active,2022-06-27,2024-06-27
LOAN000189,CUS008460,INS000001,Personal,454183.39,300555.84,10.718,Active,2023-11-08,2026-11-08
LOAN000190,CUS006299,INS000005,Personal,89339.02,36379.14,15.229,Active,2024-05-18,2028-05-18
LOAN000191,CUS000995,INS000005,Home,141141.99,98302.5,11.518,Active,2022-10-23,2026-10-23
LOAN000192,CUS006238,INS000002,Auto,324546.35,54929.2,13.961,Active,2022-11-30,2026-11-30
LOAN000193,CUS005162,INS000005,Auto,75240.78,47113.05,13.947,Closed,2024-03-17,2029-03-17
LOAN000194,CUS005276,INS000003,Personal,141686.58,79244.92,11.256,Active,2025-08-11,2028-08-11
LOAN000195,CUS002925,INS000004,Personal,54164.48,179.18,12.53,Active,2022-01-13,2026-01-13
LOAN000196,CUS000466,INS000002,Home,456985.94,121229.62,17.972,Active,2026-06-03,2028-06-03
LOAN000197,CUS002634,INS000004,Personal,111719.48,83226.57,17.162,Active,2023-09-18,2028-09-18
LOAN000198,CUS001437,INS000005,Personal,94947.31,76452.3,8.299,Active,2026-05-25,2031-05-25
LOAN000199,CUS008940,INS000003,Auto,127442.01,50414.9,10.944,Defaulted,2021-09-24,2023-09-24
LOAN000200,CUS009869,INS000003,Home,79691.75,8154.83,16.03,Active,2025-01-13,2026-01-13
LOAN000201,CUS004554,INS000005,Personal,141109.28,128949.84,8.181,Active,2025-03-12,2026-03-12
LOAN000202,CUS005516,INS000001,Education,428307.49,12272.46,14.703,Active,2025-09-26,2028-09-26
LOAN000203,CUS004818,INS000004,Home,287281.28,159444.7,14.257,Active,2021-12-28,2025-12-28
LOAN000204,CUS001028,INS000002,Home,105282.34,76591.16,12.209,Active,2021-09-17,2022-09-17
LOAN000205,CUS007624,INS000003,Education,50000.0,23893.0,9.969,Active,2024-01-02,2025-01-02
LOAN000206,CUS007203,INS000001,Home,237817.68,81833.14,7.86,Closed,2022-11-17,2023-11-17
LOAN000207,CUS003240,INS000004,Personal,103222.21,50655.4,7.893,Active,2021-11-17,2026-11-17
LOAN000208,CUS001023,INS000003,Education,1394489.83,335882.99,17.57,Defaulted,2024-11-23,2029-11-23
LOAN000209,CUS000685,INS000003,Auto,122089.19,3296.06,16.991,Defaulted,2023-06-23,2024-06-23
LOAN000210,CUS004294,INS000005,Auto,589090.4,489944.56,11.819,Defaulted,2025-11-20,2027-11-20
LOAN000211,CUS003701,INS000004,Personal,50000.0,19191.19,15.163,Closed,2021-12-02,2022-12-02
LOAN000212,CUS004315,INS000005,Education,262419.49,220162.96,16.909,Closed,2025-03-16,2029-03-16
LOAN000213,CUS009496,INS000002,Personal,262025.48,72682.18,13.343,Active,2024-04-05,2029-04-05
LOAN000214,CUS000113,INS000005,Personal,212504.95,39302.51,8.016,Active,2026-03-08,2029-03-08
LOAN000215,CUS006661,INS000005,Education,79265.39,74842.7,16.092,Closed,2021-10-25,2024-10-25
LOAN000216,CUS009396,INS000002,Home,167617.18,125897.09,15.146,Active,2021-12-25,2025-12-25
LOAN000217,CUS006082,INS000001,Education,101774.23,75521.08,16.166,Active,2026-04-16,2030-04-16
LOAN000218,CUS004453,INS000002,Home,113399.76,56634.18,16.769,Active,2021-12-04,2026-12-04
LOAN000219,CUS008030,INS000001,Personal,208716.23,43528.88,10.645,Active,2026-06-27,2029-06-27
LOAN000220,CUS008535,INS000001,Personal,153631.56,8959.55,16.395,Active,2023-01-27,2028-01-27
LOAN000221,CUS009826,INS000003,Home,110863.83,22155.8,17.507,Closed,2025-11-02,2030-11-02
LOAN000222,CUS005740,INS000004,Home,336674.73,289017.05,16.579,Active,2023-06-08,2025-06-08
LOAN000223,CUS002940,INS000003,Education,511423.76,463791.23,17.84,Active,2025-03-31,2030-03-31
LOAN000224,CUS000215,INS000003,Education,67312.32,32144.01,14.169,Active,2022-01-28,2027-01-28
LOAN000225,CUS001583,INS000004,Auto,91628.89,53816.45,11.776,Active,2023-04-28,2028-04-28
LOAN000226,CUS003043,INS000004,Home,82244.55,71498.18,10.836,Active,2025-05-21,2027-05-21
LOAN000227,CUS003811,INS000003,Personal,259930.7,44710.54,17.07,Active,2022-08-15,2024-08-15
LOAN000228,CUS000951,INS000004,Personal,768919.84,593490.28,9.465,Active,2024-10-21,2026-10-21
LOAN000229,CUS000547,INS000005,Personal,351531.87,328646.96,12.513,Active,2024-07-16,2027-07-16
LOAN000230,CUS000614,INS000003,Personal,717551.11,673005.97,9.985,Active,2025-03-05,2028-03-05
LOAN000231,CUS000717,INS000002,Home,304322.55,260050.24,16.971,Active,2024-01-13,2026-01-13
LOAN000232,CUS009471,INS000001,Personal,54543.09,32234.33,13.45,Defaulted,2022-12-24,2024-12-24
LOAN000233,CUS001036,INS000001,Personal,98586.58,57112.25,16.219,Active,2025-06-01,2026-06-01
LOAN000234,CUS005986,INS000005,Home,174548.2,118240.52,10.402,Active,2022-04-20,2023-04-20
LOAN000235,CUS000823,INS000002,Personal,126621.83,116409.46,17.669,Closed,2022-07-22,2023-07-22
LOAN000236,CUS002071,INS000005,Home,73952.52,53563.68,16.263,Active,2021-11-14,2024-11-14
LOAN000237,CUS006387,INS000005,Personal,63673.42,26054.14,12.354,Closed,2026-06-26,2029-06-26
LOAN000238,CUS007632,INS000002,Education,68772.67,17993.54,17.728,Active,2023-04-15,2026-04-15
LOAN000239,CUS007256,INS000004,Personal,200285.33,7022.7,14.209,Active,2026-05-12,2029-05-12
LOAN000240,CUS003802,INS000004,Personal,95123.97,70024.71,9.724,Active,2025-01-04,2027-01-04
LOAN000241,CUS000102,INS000001,Personal,130373.78,101711.74,8.413,Active,2025-04-25,2028-04-25
LOAN000242,CUS000391,INS000001,Home,131170.63,58212.93,8.402,Closed,2024-11-16,2029-11-16
LOAN000243,CUS002890,INS000003,Auto,1615004.23,18747.65,10.49,Active,2021-08-11,2024-08-11
LOAN000244,CUS009736,INS000002,Home,69194.73,19892.36,14.548,Closed,2026-04-28,2029-04-28
LOAN000245,CUS008727,INS000001,Auto,333778.84,186611.92,8.066,Active,2022-06-30,2024-06-30
LOAN000246,CUS006457,INS000004,Personal,219538.51,196947.71,12.492,Active,2023-09-15,2027-09-15
LOAN000247,CUS003078,INS000001,Home,50000.0,40849.95,14.15,Defaulted,2024-10-17,2028-10-17
LOAN000248,CUS004784,INS000002,Education,100091.77,40692.09,11.004,Closed,2025-06-26,2027-06-26
LOAN000249,CUS009568,INS000001,Personal,258529.55,160000.17,8.119,Active,2025-02-06,2028-02-06
LOAN000250,CUS004498,INS000003,Home,170094.53,98085.24,8.132,Active,2021-12-10,2026-12-10
LOAN000251,CUS009024,INS000001,Home,305807.87,175328.71,15.914,Active,2025-05-11,2026-05-11
LOAN000252,CUS001546,INS000001,Personal,175463.97,116747.38,10.185,Active,2023-03-26,2028-03-26
LOAN000253,CUS005134,INS000002,Education,98208.44,31286.2,16.326,Defaulted,2023-01-18,2028-01-18
LOAN000254,CUS009161,INS000002,Personal,431689.0,101687.11,10.912,Active,2026-06-05,2029-06-05
LOAN000255,CUS001952,INS000002,Personal,163131.67,104494.37,17.316,Active,2023-02-05,2028-02-05
LOAN000256,CUS002795,INS000003,Personal,79751.2,75570.89,17.95,Closed,2022-01-31,2026-01-31
LOAN000257,CUS006685,INS000003,Home,255764.34,106485.59,15.876,Active,2024-05-16,2027-05-16
LOAN000258,CUS004957,INS000001,Education,140366.03,74264.34,13.785,Active,2023-12-06,2027-12-06
LOAN000259,CUS005301,INS000005,Personal,109082.19,83552.49,7.869,Active,2023-01-09,2024-01-09
LOAN000260,CUS003217,INS000001,Auto,124510.34,96932.51,13.499,Active,2022-10-20,2026-10-20
LOAN000261,CUS009786,INS000001,Education,130149.64,84860.85,8.037,Active,2025-12-28,2028-12-28
