ticket_id,customer_id,institution_id,issue_category,priority,status,created_date,resolved_date
TKT000074,CUS005472,INS000005,Transaction Issue,Low,Closed,2024-11-27,2024-12-02
TKT000075,CUS001917,INS000005,Card Issue,Low,Closed,2026-03-27,2026-03-28
TKT000076,CUS004332,INS000005,Fraud Report,High,In Progress,2025-07-25,
TKT000077,CUS009461,INS000005,Payment Issue,Medium,Resolved,2024-12-15,2024-12-20
TKT000078,CUS005972,INS000003,Payment Issue,Low,Resolved,2025-02-19,2025-02-24
TKT000079,CUS007300,INS000005,Technical Issue,Low,Closed,2024-10-05,2024-10-09
TKT000080,CUS005965,INS000004,Loan Query,Medium,Resolved,2025-09-28,2025-10-03
TKT000081,CUS007476,INS000002,Fraud Report,Critical,Resolved,2024-12-25,2024-12-27
TKT000082,CUS001973,INS000002,Payment Issue,Low,Resolved,2024-10-18,2024-10-23
TKT000083,CUS004837,INS000003,Payment Issue,Low,In Progress,2025-12-03,
TKT000084,CUS007102,INS000002,Fraud Report,Low,Closed,2025-02-27,2025-03-04
TKT000085,CUS005752,INS000005,Technical Issue,Medium,Resolved,2025-05-18,2025-05-21
TKT000086,CUS005346,INS000003,Payment Issue,Low,Open,2026-04-18,
TKT000087,CUS008336,INS000004,Loan Query,Medium,Closed,2025-07-12,2025-07-15
TKT000088,CUS000075,INS000005,Payment Issue,Medium,Resolved,2025-03-17,2025-03-18
TKT000089,CUS004309,INS000003,Payment Issue,Medium,Closed,2026-05-03,2026-05-04
TKT000090,CUS000949,INS000005,Payment Issue,High,Resolved,2024-10-31,2024-11-02
TKT000091,CUS004187,INS000005,Account Issue,High,Open,2026-02-23,
TKT000092,CUS008761,INS000003,Transaction Issue,Medium,Closed,2025-04-28,2025-05-03
TKT000093,CUS006526,INS000005,Payment Issue,Low,Closed,2025-08-15,2025-08-18
TKT000094,CUS003093,INS000005,Transaction Issue,Low,Closed,2026-01-20,2026-01-23
TKT000095,CUS006510,INS000005,Payment Issue,Low,Resolved,2025-02-01,2025-02-03
TKT000096,CUS005944,INS000002,Card Issue,Medium,Closed,2026-04-18,2026-04-23
TKT000097,CUS000632,INS000001,Account Issue,Medium,Resolved,2025-10-12,2025-10-17
TKT000098,CUS000895,INS000001,Card Issue,Low,Open,2024-12-01,
TKT000099,CUS004969,INS000005,Loan Query,High,Resolved,2026-05-31,2026-06-04
TKT000100,CUS006418,INS000005,Transaction Issue,Medium,Resolved,2025-04-19,2025-04-26
TKT000101,CUS002798,INS000004,Transaction Issue,Low,Resolved,2025-02-10,2025-02-12
TKT000102,CUS008764,INS000001,Payment Issue,High,Resolved,2025-09-07,2025-09-13
TKT000103,CUS001679,INS000002,Loan Query,High,Resolved,2025-10-08,2025-10-11
TKT000104,CUS000437,INS000002,Loan Query,Low,In Progress,2025-09-07,
TKT000105,CUS001200,INS000002,Payment Issue,Medium,Closed,2025-05-06,2025-05-09
TKT000106,CUS001441,INS000005,Payment Issue,Medium,Resolved,2024-10-22,2024-10-27
TKT000107,CUS001014,INS000001,Payment Issue,High,Resolved,2025-10-25,2025-10-26
TKT000108,CUS006574,INS000001,Loan Query,Low,Resolved,2025-10-07,2025-10-14
TKT000109,CUS006256,INS000005,Loan Query,High,Resolved,2025-10-20,2025-10-24
TKT000110,CUS007044,INS000005,Loan Query,Medium,Open,2025-12-26,
TKT000111,CUS000086,INS000001,Account Issue,High,Closed,2025-02-25,2025-03-02
TKT000112,CUS007182,INS000004,Payment Issue,Low,In Progress,2026-05-02,
TKT000113,CUS000395,INS000005,Technical Issue,Medium,Resolved,2024-12-24,2024-12-27
TKT000114,CUS002849,INS000004,Loan Query,Low,Resolved,2024-11-13,2024-11-16
TKT000115,CUS007951,INS000001,Payment Issue,Low,Closed,2025-09-04,2025-09-09
TKT000116,CUS007335,INS000002,Fraud Report,Medium,Resolved,2025-06-02,2025-06-07
TKT000117,CUS007809,INS000003,Technical Issue,Medium,Resolved,2024-10-06,2024-10-08
TKT000118,CUS003379,INS000004,Loan Query,Critical,Resolved,2026-07-09,2026-07-11
TKT000119,CUS004610,INS000001,Transaction Issue,High,Open,2025-08-15,
TKT000120,CUS009075,INS000003,Transaction Issue,High,In Progress,2024-09-02,
TKT000121,CUS008019,INS000001,Account Issue,Medium,Resolved,2025-07-20,2025-07-23
TKT000122,CUS001896,INS000003,Card Issue,Low,Resolved,2026-01-19,2026-01-26
TKT000123,CUS006946,INS000005,Technical Issue,Low,Resolved,2025-02-23,2025-02-26
TKT000124,CUS002471,INS000001,Transaction Issue,Medium,Closed,2025-05-03,2025-05-04
TKT000125,CUS008815,INS000001,Payment Issue,Low,Closed,2025-06-07,2025-06-12
TKT000126,CUS008611,INS000001,Technical Issue,Medium,Resolved,2026-03-27,2026-03-28
TKT000127,CUS003557,INS000002,Payment Issue,High,In Progress,2025-06-12,
TKT000128,CUS002415,INS000003,Payment Issue,Medium,Resolved,2025-10-30,2025-11-03
TKT000129,CUS006938,INS000001,Payment Issue,High,Resolved,2025-08-05,2025-08-11
TKT000130,CUS008685,INS000005,Account Issue,Medium,Resolved,2026-01-09,2026-01-14
TKT000131,CUS000224,INS000004,Payment Issue,Low,Closed,2024-11-11,2024-11-18
TKT000132,CUS009659,INS000003,Fraud Report,Low,Closed,2025-07-06,2025-07-08
TKT000133,CUS003400,INS000004,Transaction Issue,Medium,In Progress,2025-08-24,
TKT000134,CUS005679,INS000001,Fraud Report,High,Open,2024-09-26,
TKT000135,CUS009682,INS000005,Payment Issue,Critical,Closed,2024-11-18,2024-11-20
TKT000136,CUS005769,INS000003,Card Issue,Medium,Resolved,2025-07-24,2025-07-31
TKT000137,CUS008568,INS000002,Transaction Issue,Low,Resolved,2025-03-01,2025-03-02
TKT000138,CUS001209,INS000002,Card Issue,Low,In Progress,2024-10-08,
TKT000139,CUS003324,INS000004,Transaction Issue,Medium,In Progress,2025-01-18,
TKT000140,CUS001663,INS000002,Technical Issue,Medium,In Progress,2026-03-30,
TKT000141,CUS007280,INS000005,Account Issue,Low,Closed,2025-04-06,2025-04-12
TKT000142,CUS006439,INS000002,Payment Issue,Critical,Resolved,2026-04-03,2026-04-10
TKT000143,CUS007788,INS000001,Account Issue,Medium,Resolved,2025-09-04,2025-09-05
TKT000144,CUS000248,INS000001,Payment Issue,High,Open,2025-10-17,
TKT000145,CUS001093,INS000002,Loan Query,Medium,Resolved,2024-10-03,2024-10-05
TKT000146,CUS003640,INS000005,Technical Issue,Medium,Resolved,2025-08-19,2025-08-23
TKT000147,CUS007327,INS000003,Loan Query,High,Closed,2024-10-16,2024-10-19
TKT000148,CUS007913,INS000003,Loan Query,Medium,Resolved,2026-03-27,2026-03-30
TKT000149,CUS000941,INS000002,Payment Issue,Medium,In Progress,2026-01-24,
TKT000150,CUS004441,INS000005,Account Issue,Low,Closed,2024-08-29,2024-09-01
TKT000151,CUS004953,INS000003,Card Issue,Medium,In Progress,2025-10-20,
TKT000152,CUS003154,INS000002,Payment Issue,Medium,Closed,2024-08-26,2024-08-27
TKT000153,CUS004571,INS000004,Payment Issue,Medium,Resolved,2025-01-20,2025-01-21
TKT000154,CUS009809,INS000001,Technical Issue,Critical,Resolved,2024-11-27,2024-12-04
TKT000155,CUS005333,INS000003,Technical Issue,Low,In Progress,2026-07-29,
TKT000156,CUS007976,INS000002,Payment Issue,Low,Resolved,2026-07-14,2026-07-21
TKT000157,CUS007961,INS000004,Technical Issue,Low,Resolved,2025-05-21,2025-05-25
TKT000158,CUS006150,INS000001,Loan Query,Medium,Resolved,2025-07-08,2025-07-10
TKT000159,CUS008592,INS000005,Account Issue,Medium,Closed,2025-05-16,2025-05-17
TKT000160,CUS009595,INS000003,Card Issue,Low,Resolved,2025-05-01,2025-05-04
TKT000161,CUS007915,INS000001,Payment Issue,Medium,Resolved,2025-07-12,2025-07-17
TKT000162,CUS000824,INS000003,Payment Issue,Low,In Progress,2025-07-04,
TKT000163,CUS002082,INS000001,Payment Issue,Medium,Resolved,2026-03-05,2026-03-10
TKT000164,CUS004083,INS000005,Fraud Report,Low,Open,2024-10-18,
TKT000165,CUS007919,INS000002,Card Issue,Low,Resolved,2026-03-24,2026-03-30
TKT000166,CUS009244,INS000005,Card Issue,High,Closed,2025-05-18,2025-05-22
TKT000167,CUS003020,INS000001,Fraud Report,Low,Open,2025-04-04,
TKT000168,CUS004560,INS000004,Technical Issue,Medium,Resolved,2025-10-04,2025-10-06
TKT000169,CUS008420,INS000001,Account Issue,Low,Resolved,2025-03-04,2025-03-07
TKT000170,CUS008013,INS000003,Card Issue,Critical,In Progress,2026-01-25,
TKT000171,CUS007972,INS000005,Card Issue,High,Resolved,2026-04-17,2026-04-20
TKT000172,CUS004048,INS000004,Card Issue,High,In Progress,2025-12-10,
TKT000173,CUS002346,INS000001,Card Issue,Medium,Open,2025-08-28,
TKT000174,CUS006409,INS000002,Transaction Issue,Low,Resolved,2025-01-15,2025-01-22
TKT000175,CUS006757,INS000002,Payment Issue,Low,Resolved,2024-10-18,2024-10-22
TKT000176,CUS001320,INS000002,Payment Issue,Low,Open,2026-07-13,
TKT000177,CUS008907,INS000004,Payment Issue,Medium,In Progress,2025-06-12,
TKT000178,CUS005677,INS000003,Payment Issue,Low,Open,2026-04-08,
TKT000179,CUS002733,INS000001,Account Issue,Low,Closed,2024-12-03,2024-12-05
TKT000180,CUS005336,INS000003,Fraud Report,Low,Resolved,2026-04-07,2026-04-14
TKT000181,CUS000887,INS000002,Account Issue,High,Resolved,2026-04-02,2026-04-03
TKT000182,CUS004502,INS000005,Account Issue,Medium,Open,2025-12-17,
TKT000183,CUS007391,INS000002,Technical Issue,Low,Resolved,2025-08-11,2025-08-17
TKT000184,CUS009293,INS000003,Account Issue,Low,Resolved,2025-01-19,2025-01-23
TKT000185,CUS003488,INS000001,Loan Query,High,Resolved,2025-08-18,2025-08-25
TKT000186,CUS009605,INS000005,Transaction Issue,Medium,Resolved,2025-05-01,2025-05-07
TKT000187,CUS003132,INS000001,Account Issue,Critical,Resolved,2025-05-27,2025-05-28
TKT000188,CUS006599,INS000004,Payment Issue,Low,Resolved,2025-12-17,2025-12-19
TKT000189,CUS003111,INS000001,Account Issue,Critical,Closed,2024-09-27,2024-10-04
TKT000190,CUS001950,INS000005,Card Issue,Low,In Progress,2026-06-12,
TKT000191,CUS009739,INS000001,Loan Query,Medium,Resolved,2025-02-21,2025-02-28
TKT000192,CUS007324,INS000002,Account Issue,Low,Resolved,2026-03-21,2026-03-23
TKT000193,CUS004718,INS000004,Payment Issue,Low,Resolved,2026-01-15,2026-01-19
TKT000194,CUS004479,INS000002,Payment Issue,Medium,Closed,2026-02-10,2026-02-12
TKT000195,CUS004812,INS000005,Loan Query,Medium,Closed,2026-04-17,2026-04-22
TKT000196,CUS001550,INS000005,Fraud Report,High,Closed,2026-04-22,2026-04-27
TKT000197,CUS004632,INS000001,Account Issue,High,Open,2024-08-26,
TKT000198,CUS009525,INS000005,Technical Issue,Low,Resolved,2026-04-21,2026-04-25
TKT000199,CUS002492,INS000005,Card Issue,Low,Closed,2025-05-22,2025-05-27
TKT000200,CUS009580,INS000005,Fraud Report,High,Resolved,2026-07-17,2026-07-24
TKT000201,CUS001722,INS000003,Payment Issue,High,In Progress,2026-05-01,
TKT000202,CUS003690,INS000005,Account Issue,Medium,In Progress,2026-05-31,
TKT000203,CUS008091,INS000005,Technical Issue,Medium,Open,2024-10-21,
TKT000204,CUS007072,INS000003,Payment Issue,Low,Closed,2025-06-05,2025-06-12
TKT000205,CUS003146,INS000001,Loan Query,High,Resolved,2025-10-29,2025-10-31
TKT000206,CUS001378,INS000002,Technical Issue,Low,Resolved,2026-02-09,2026-02-15
TKT000207,CUS009231,INS000001,Card Issue,High,Closed,2026-08-04,2026-08-05
TKT000208,CUS003552,INS000003,Loan Query,Medium,Resolved,2026-04-29,2026-05-01
TKT000209,CUS003824,INS000001,Card Issue,Low,Resolved,2025-06-30,2025-07-05
TKT000210,CUS005783,INS000004,Loan Query,Low,Resolved,2025-07-23,2025-07-28
TKT000211,CUS007459,INS000005,Account Issue,High,In Progress,2025-10-01,
TKT000212,CUS007416,INS000001,Fraud Report,Low,Closed,2025-04-14,2025-04-18
TKT000213,CUS006654,INS000003,Account Issue,Low,Resolved,2026-07-16,2026-07-22
TKT000214,CUS005166,INS000002,Payment Issue,Medium,Closed,2025-08-18,2025-08-21
TKT000215,CUS006021,INS000002,Account Issue,Medium,Resolved,2026-05-30,2026-06-05
TKT000216,CUS008800,INS000001,Payment Issue,Low,Resolved,2025-04-11,2025-04-12
TKT000217,CUS005002,INS000005,Card Issue,High,Closed,2024-10-07,2024-10-09
TKT000218,CUS005216,INS000001,Card Issue,Low,In Progress,2025-12-30,
TKT000219,CUS006487,INS000005,Payment Issue,Low,Resolved,2025-04-25,2025-05-02
TKT000220,CUS002515,INS000004,Payment Issue,Medium,Open,2025-03-07,
TKT000221,CUS005554,INS000004,Payment Issue,Low,Open,2026-04-12,
TKT000222,CUS002747,INS000004,Card Issue,Medium,Resolved,2025-01-01,2025-01-04
TKT000223,CUS003095,INS000003,Card Issue,High,Resolved,2026-02-01,2026-02-04
TKT000224,CUS008915,INS000004,Loan Query,High,Closed,2025-02-22,2025-03-01
TKT000225,CUS001397,INS000002,Card Issue,High,Resolved,2025-02-09,2025-02-13
TKT000226,CUS006167,INS000002,Fraud Report,High,Open,2026-03-30,
TKT000227,CUS002739,INS000001,Technical Issue,Medium,Resolved,2024-10-15,2024-10-19
TKT000228,CUS004129,INS000001,Fraud Report,High,Closed,2024-12-06,2024-12-10
TKT000229,CUS001919,INS000005,Card Issue,Critical,Closed,2024-12-25,2024-12-30
TKT000230,CUS001435,INS000004,Card Issue,Medium,Resolved,2026-02-01,2026-02-05
TKT000231,CUS009556,INS000002,Payment Issue,Medium,In Progress,2025-05-16,
TKT000232,CUS007108,INS000004,Account Issue,High,Resolved,2026-06-02,2026-06-06
TKT000233,CUS003891,INS000002,Payment Issue,Medium,Resolved,2026-05-30,2026-06-01
TKT000234,CUS004003,INS000002,Account Issue,Critical,Closed,2024-09-25,2024-09-28
TKT000235,CUS002488,INS000001,Account Issue,Low,Resolved,2025-11-28,2025-12-04
TKT000236,CUS006532,INS000001,Account Issue,Medium,In Progress,2025-02-05,
TKT000237,CUS003414,INS000002,Payment Issue,Medium,Closed,2025-05-21,2025-05-28
TKT000238,CUS005132,INS000001,Payment Issue,Medium,Resolved,2025-12-11,2025-12-17
TKT000239,CUS006053,INS000002,Transaction Issue,High,Resolved,2024-09-28,2024-09-30
TKT000240,CUS000635,INS000001,Account Issue,Low,Resolved,2025-03-06,2025-03-07
TKT000241,CUS007666,INS000002,Card Issue,High,Resolved,2025-01-13,2025-01-18
TKT000242,CUS006824,INS000004,Loan Query,Medium,Resolved,2026-01-30,2026-02-04
TKT000243,CUS007270,INS000005,Payment Issue,Medium,Closed,2026-06-04,2026-06-09
TKT000244,CUS003053,INS000003,Payment Issue,High,Resolved,2024-12-23,2024-12-25
TKT000245,CUS002436,INS000005,Payment Issue,Low,Resolved,2026-04-10,2026-04-14
TKT000246,CUS001069,INS000001,Payment Issue,High,Closed,2026-06-17,2026-06-22
TKT000247,CUS003283,INS000001,Fraud Report,Medium,Closed,2026-03-30,2026-04-06
TKT000248,CUS004082,INS000005,Technical Issue,Medium,Resolved,2026-07-18,2026-07-21
TKT000249,CUS008531,INS000001,Payment Issue,High,Resolved,2025-04-08,2025-04-14
TKT000250,CUS005350,INS000001,Payment Issue,High,Closed,2025-08-25,2025-08-30
TKT000251,CUS009906,INS000004,Payment Issue,Low,Resolved,2025-04-22,2025-04-27
TKT000252,CUS007302,INS000003,Fraud Report,High,Closed,2025-11-21,2025-11-27
TKT000253,CUS005469,INS000001,Card Issue,Low,Open,2025-10-12,
TKT000254,CUS008716,INS000002,Card Issue,Low,Open,2025-08-11,
TKT000255,CUS001969,INS000002,Transaction Issue,Low,Resolved,2025-10-30,2025-11-06
TKT000256,CUS004757,INS000003,Technical Issue,Medium,Open,2025-06-29,
TKT000257,CUS004499,INS000004,Transaction Issue,Medium,Open,2024-12-14,
TKT000258,CUS000160,INS000003,Transaction Issue,High,In Progress,2025-07-18,
TKT000259,CUS008464,INS000005,Payment Issue,High,Resolved,2024-11-16,2024-11-23
TKT000260,CUS009494,INS000003,Transaction Issue,Low,Resolved,2025-05-18,2025-05-21
TKT000261,CUS008967,INS000005,Payment Issue,Medium,Resolved,2025-01-10,2025-01-17
TKT000262,CUS008434,INS000005,Card Issue,Medium,Resolved,2025-12-05,2025-12-12
TKT000263,CUS000448,INS000001,Fraud Report,High,Resolved,2024-08-24,2024-08-29
TKT000264,CUS002501,INS000005,Card Issue,Medium,Closed,2024-08-14,2024-08-18
TKT000265,CUS000554,INS000005,Card Issue,Medium,In Progress,2025-07-18,
TKT000266,CUS003565,INS000005,Transaction Issue,Medium,Closed,2025-12-31,2026-01-05
TKT000267,CUS006266,INS000003,Loan Query,Medium,Closed,2025-08-14,2025-08-18
TKT000268,CUS001940,INS000002,Transaction Issue,High,In Progress,2024-10-02,
TKT000269,CUS001127,INS000004,Payment Issue,High,Resolved,2025-06-19,2025-06-21
TKT000270,CUS009592,INS000002,Fraud Report,Critical,Resolved,2025-03-02,2025-03-08
TKT000271,CUS004851,INS000003,Payment Issue,Low,In Progress,2026-07-20,
TKT000272,CUS006675,INS000003,Payment Issue,Medium,Resolved,2025-06-25,2025-07-02
TKT000273,CUS004672,INS000004,Transaction Issue,Medium,Resolved,2025-01-04,2025-01-10
TKT000274,CUS006717,INS000004,Fraud Report,Medium,Resolved,2025-01-21,2025-01-27
TKT000275,CUS003634,INS000001,Payment Issue,Critical,Resolved,2024-09-06,2024-09-13
TKT000276,CUS008658,INS000005,Transaction Issue,High,Resolved,2026-07-05,2026-07-10
TKT000277,CUS000042,INS000001,Payment Issue,Low,Resolved,2026-04-08,2026-04-13
TKT000278,CUS006699,INS000001,Card Issue,Medium,Closed,2026-03-06,2026-03-09
TKT000279,CUS008999,INS000003,Fraud Report,Medium,Resolved,2026-04-09,2026-04-12
TKT000280,CUS002729,INS000002,Account Issue,Low,Resolved,2024-08-31,2024-09-01
TKT000281,CUS004823,INS000002,Fraud Report,High,Closed,2025-04-24,2025-04-26
TKT000282,CUS009736,INS000002,Payment Issue,Critical,Resolved,2025-05-24,2025-05-26
TKT000283,CUS003354,INS000004,Loan Query,Medium,Resolved,2025-05-09,2025-05-16
TKT000284,CUS004633,INS000001,Payment Issue,Medium,In Progress,2025-03-13,
TKT000285,CUS002997,INS000005,Account Issue,Medium,Resolved,2026-02-17,2026-02-19
TKT000286,CUS001080,INS000002,Technical Issue,High,In Progress,2026-01-10,
TKT000287,CUS006671,INS000002,Payment Issue,High,Closed,2024-12-16,2024-12-18
TKT000288,CUS000971,INS000004,Payment Issue,Critical,In Progress,2025-04-28,
TKT000289,CUS008554,INS000003,Transaction Issue,Critical,Resolved,2026-04-13,2026-04-18
TKT000290,CUS001686,INS000002,Card Issue,High,Closed,2024-11-17,2024-11-18
TKT000291,CUS003502,INS000003,Transaction Issue,High,Closed,2026-06-16,2026-06-20
TKT000292,CUS006693,INS000003,Fraud Report,Low,Resolved,2026-02-12,2026-02-14
TKT000293,CUS003594,INS000003,Card Issue,Low,Resolved,2024-11-13,2024-11-14
TKT000294,CUS008954,INS000005,Payment Issue,Medium,Closed,2026-06-21,2026-06-24
TKT000295,CUS002776,INS000005,Loan Query,Medium,Resolved,2026-04-21,2026-04-23
TKT000296,CUS003720,INS000001,Card Issue,High,Open,2025-09-06,
TKT000297,CUS007971,INS000002,Account Issue,Critical,Closed,2026-08-01,2026-08-07
TKT000298,CUS006048,INS000002,Technical Issue,High,Resolved,2025-11-14,2025-11-18
TKT000299,CUS004389,INS000003,Transaction Issue,Medium,Resolved,2025-12-26,2025-12-31
TKT000300,CUS003177,INS000001,Card Issue,High,Resolved,2026-01-14,2026-01-20
TKT000301,CUS006150,INS000001,Payment Issue,Low,In Progress,2026-06-07,
TKT000302,CUS000662,INS000002,Payment Issue,High,In Progress,2026-07-22,
TKT000303,CUS008530,INS000005,Account Issue,Low,Open,2025-02-06,
TKT000304,CUS003712,INS000001,Card Issue,Medium,Resolved,2025-10-03,2025-10-06
TKT000305,CUS003359,INS000002,Account Issue,Low,Resolved,2026-07-16,2026-07-21
TKT000306,CUS002509,INS000002,Technical Issue,High,Closed,2025-07-11,2025-07-15
TKT000307,CUS001714,INS000002,Transaction Issue,Medium,Closed,2025-08-17,2025-08-23
TKT000308,CUS009373,INS000003,Payment Issue,Medium,Resolved,2025-02-01,2025-02-04
TKT000309,CUS006914,INS000003,Technical Issue,Low,Resolved,2026-05-18,2026-05-19
TKT000310,CUS003250,INS000005,Payment Issue,Low,Closed,2026-04-13,2026-04-15
TKT000311,CUS009873,INS000001,Loan Query,High,In Progress,2026-03-11,
TKT000312,CUS003891,INS000002,Card Issue,Low,Closed,2026-02-20,2026-02-23
TKT000313,CUS004462,INS000005,Account Issue,Low,Closed,2025-03-26,2025-03-29
TKT000314,CUS009086,INS000002,Payment Issue,Medium,In Progress,2025-05-22,
TKT000315,CUS009760,INS000004,Loan Query,Medium,In Progress,2026-06-22,
